,name,artwork,sod,gRoq1,gRoq2,gRoq3,gRoq4,reasons,tempo_score,tempo,pitch_score,pitch,density_score,density
0,나비,A9,8,,"[열C] colC,[열D] colD",[열C] colC,[열C] colC,팔다리의 큰 움직임,8.0,8,7.0,7,7.0,7
1,rub,A9,8,,"[열C] colC,[열B] colB,[열D] colD",[열C] colC,,she's obviously doing ballet,6.0,6 | elegant but smoothly moving and cute,6.0,6 | for me it should be a happy song for ballet,7.0,7 | for me it should be a happy song for ballet
2,Daisy,A9,7,,"[열C] colC,[열D] colD,[열A] colA","[열C] colC,[열D] colD",[열C] colC,"The woman is dancing, and there is also a group of women behind.",7.0,"7 | The woman is dancing ballet, so I suppose this is the tempo of a typical ballet dance.",7.0,7 | Same reason with the question about the tempo.,8.0,8 | I think there is some tension between the woman in the front and the group of women behind. That is why I think the density level is high.
3,Doky,A9,6,,"[열C] colC,[열D] colD",[열C] colC,[열C] colC,발레를 연상하는 인물의 춤사위. (팔과 높게 뻗은 다리의 움직임),6.0,6 | 발레곡처럼 너무 빠르지도 않으면서 클래식 음악 치고는 비교적 더 빠른 템포가 연상됨.,8.0,8 | 색채가 밝고 활기차므로 (행복한 분위기) 음은 쾌활하고 높은 경쾌한 음이 잘 어울릴 것 같음,7.0,7 | 춤을 연상하므로 밀도는 비교적 높아야 할 것으로 예상됨.
4,chanpig,A9,5,,[열D] colD,[열C] colC,,팔의 기울임,5.0,5 |  혼자서만 움직여서,5.0,5 |  혼자서만 크게 자세를 잡고있어서 ,3.0,3 |  천천히 발래를 할것같음 
5,곤듀,A9,7,,"[열A] colA,[열B] colB,[열D] colD,[열C] colC","[열C] colC,[열D] colD",[열C] colC,"인물들의 동작, 복장에 의해 발레공연을 연상캐함",3.0,3 | 그림은 발레공연 중 한장면이라고 바로 인식은 가능하다 발레음악에 대한 경험이 전무하다 유일하게 기억하는 백조의 호수 중 유명한 부분을 생각해서 선택함.,2.0,"2 | 발레공연 장면을 연상케하는 본그림에서 느껴지는 것은 우아함, 웅장함임. 따라서 낮음 피치가 어울리다고 생각함",2.0,2 | 본 그림에서는 우아함과 웅장함이 떠오르기 때문에 낮은 밀도의 음이 어울린다고 생각함
6,이인애,A9,5,,"[열A] colA,[열C] colC,[열B] colB,[열D] colD",,,거친선의표현,6.0,6,7.0,7,5.0,5
7,고고,A9,7,,[열D] colD,"[열C] colC,[열D] colD",[열C] colC,춤추는모습,7.0,7,7.0,7,7.0,7
8,경,A9,7,,[열D] colD,[열C] colC,[열C] colC,우아하게 발레를 하는 모습에서 움직임을 느낄 수 있음.,4.0,4 |  적당히 가볍고 우아한 움직임을 잘 나타냄.,4.0,4 |  적당히 가볍고 우아한 움직임을 잘 드러냄.,9.0,"9 |  우아한 움직임, 화려함을 잘 드러냄."
9,yoni,A9,7,,"[열A] colA,[열B] colB,[열C] colC,[열D] colD","[열C] colC,[열D] colD","[열C] colC,[열D] colD",인물,5.0,5,5.0,5,5.0,5
