,name,artwork,sod,gRoq1,gRoq2,gRoq3,gRoq4,reasons,tempo_score,tempo,pitch_score,pitch,density_score,density
0,나비,A3,8,,"[열C] colC,[열D] colD","[열B] colB,[열C] colC","[열B] colB,[열C] colC",힘찬 발걸음 + 손의 자연스러운 움직임의 범위,9.0,9,7.0,7,9.0,9
1,rub,A3,8,,,"[열B] colB,[열C] colC",,"they seems are running in speed, or pursuing something",4.0,4 |  even though they are running but it's not stressful at all,7.0,7 |  it reminds me of harps or bells,7.0,7 |  it's really light but not mad
2,Daisy,A3,4,,"[열B] colB,[열C] colC","[열A] colA,[열B] colB,[열C] colC,[열D] colD","[열B] colB,[열C] colC",There are two children at the center of the painting.,6.0,"6 |  While the children look very active, they are painted as being surrounded by some orange aura that sets the boundary for their activeness.",6.0,6 |  The sunlight and the sea make me feel like the pitch is at this level.,7.0,"7 |  The children’s activities, and the motion of the waves that makes the reflection of the sunlight on the water look like the water is moving fast, almost like dancing."
3,Doky,A3,7,,,"[열B] colB,[열C] colC",,주체가 아이들이라는 점과 뛰어노는 움직임 그 자체.,8.0,8 |  경쾌하고 발랄한 아이들의 역동적 이미지를 잘 표현하기 위해 빠른 템포가 어울림.,8.0,8 |  분위기와 색채가 밝고 발랄하기 때문에 높은 핏치의 음악이 더 어울림. ,7.0,"7 |  경쾌하고 발랄함을 위하여 밀도 있는 화음이 있는 것이 좋을 것 같음,"
4,chanpig,A3,7,,"[열C] colC,[열D] colD","[열B] colB,[열C] colC","[열B] colB,[열C] colC",몸의 움직임? 물의 튐? ,6.0,6 |  몸의 움직임? 물의 튐? 앞쪽으로 몸이 기울어져짐,6.0,6 |  몸의 움직임? 물의 튐? 애들이 기분좋게 뛰어다녀서 높은 느낌 ,4.0,4 |  몸의 움직임? 물의 튐? 밀도는 아이들이랑 가벼운 느낌이 듬
5,곤듀,A3,8,,"[열C] colC,[열B] colB,[열D] colD","[열B] colB,[열C] colC,[열A] colA","[열C] colC,[열B] colB",물속을 달려가는 인물들의 사실적인 인체표현에서 역동적인 느낌을 받음,5.0,"5 |  인물들의 행위에서는 매우 역동적임을 느끼나, 그림 주변으로 감싸고있는 색감이 주는 감성적인 느낌에 빠른 템포는 어울리지 않을 것으로 생각함.",7.0,7 |  그림속의 인물들이 어린 형제를 연상케함에 따라 약간의 높은 피치가 어울릴 것으로 생각됨,3.0,3 |  역동적임이 느껴지는 그림이나 분주하고 급박한 느낌은 들지 않으므로 높은 밀도의 음은 어울리지 않을 것으로 생각함 
6,이인애,A3,6,,[열D] colD,"[열C] colC,[열B] colB,[열A] colA",,"밝은빛, 움직임",6.0,6,6.0,6,4.0,4
7,고고,A3,8,,[열C] colC,"[열B] colB,[열C] colC,[열A] colA","[열C] colC,[열B] colB",손을잡고 뛰는 모습,8.0,8,8.0,8,8.0,8
8,경,A3,10,,[열D] colD,"[열C] colC,[열B] colB","[열B] colB,[열C] colC",아이들이 달리는 모습과 물이 튀는 모습까지 역동성을 잘 느낄 수 있게 함.,9.0,9 |  아이들이 달리는 역동적인 장면이 빠른 속도의 음악과 잘 어울림.,6.0,6 |  밝은 아이들의 가벼운 움직임을 잘 드러냄.,6.0,6 |  가벼운 아이들의 움직임을 잘 드러냄.
9,yoni,A3,8,,"[열B] colB,[열C] colC","[열B] colB,[열C] colC",[열B] colB,인물의 연령대가 주는 역동적임 스포트라이트되는듯한 그림의 느낌,5.0,5,5.0,5,7.0,7
