,name,artwork,poseType,sod,gRoq1_mat,gRoq2_mat,gRoq3_mat,gRoq4_mat,reasons,tempo_score,tempo,pitch_score,pitch,density_score,density,additional_perception
0,나비,A14,sit,2,"[0, 0, 0, 0]","[0, 0, 1, 0]","[0, 0, 1, 0]","[1, 1, 1, 1]",사람이 일단 평온하게 앉아있기때문에 낮은 역동적 느낌. 그러나 풀이 살짝 흔들려서 살짝의 역동성느낌은 있음,2.0,2,4.0,4,1.0,1,
1,rub,A14,sit,3,"[0, 0, 0, 0]","[0, 0, 0, 0]","[1, 1, 1, 1]","[1, 1, 1, 1]",I think it's mainly because of the grassland and windy feeling,3.0,3 |  peaceful,5.0,5 |  comfortable pitch,5.0,5 |  comfortable,
2,Daisy,A14,sit,6,"[1, 1, 1, 1]","[1, 1, 1, 1]","[1, 1, 1, 1]","[1, 1, 1, 1]","The woman at the center, and the grass that can move when the wind blows.",6.0,6 |  The tempo entirely follows the rhythm of the grass waves.,5.0,5 |  It looks like a peaceful noon.,5.0,5 |  I think the density varies with the wind speed.,
3,Doky,A14,sit,1,"[0, 0, 0, 0]","[0, 0, 1, 0]","[0, 0, 1, 0]","[0, 0, 0, 0]",역동적인 요소가 딱히 보이지 않음,5.0,5 |  나름 잔잔하지만 밝은 색채가 주는 느낌으로 인하여 중간정도의 템포의 음악,8.0,8 |  음악의 핏치는 밝은 색채와 움직임은 없지만 경쾌한 느낌으로 인하여 높았으면 좋겠음.,5.0,5 |  잔잔하고 평화로운 휴식의 분위기이기 때문에 밀도는 딱 중간정도가 좋을 것 같음.,
4,chanpig,A14,sit,2,"[0, 0, 0, 0]","[0, 0, 0, 0]","[1, 0, 0, 1]","[1, 1, 1, 1]",풀들이 날림,1.0,1 |  사람은 가만히 앉아있고 풀들만 움직여서 ,3.0,3 |  색감이 주는 느낌? 움직임이 없음,1.0,1 |  풀들움직임만 느껴져서 ,
5,곤듀,A14,sit,6,"[1, 1, 1, 1]","[1, 1, 0, 1]","[1, 0, 0, 1]","[1, 1, 1, 1]",인물보다는 주변 배경에 의해 역동적 느낌을 받음.,3.0,"3 |  본 그림에서 주변의 식물들이 살랑사랑 거리는 느낌을 받았으며, 약간의 느림에서 보통 사이의 템포가 어울릴 것으로 생각됨.",4.0,4 |  본 그림에서 잔잔함이 느껴짐에 따라 너무 높지도 낮지도 않은 피치의 음이 어울릴 것으로 생각됨.,3.0,3 |  본 그림에서 잔잔함이 느껴짐에 따라 높은 밀도보다는 살짝 느슨한 느낌의 음악이 어울릴 것으로 생각됨,
6,이인애,A14,sit,2,"[0, 0, 0, 0]","[0, 0, 1, 0]","[0, 1, 1, 0]","[0, 0, 0, 0]",앉은자세,3.0,3,5.0,5,7.0,7,
7,고고,A14,sit,1,"[0, 0, 0, 0]","[0, 0, 1, 0]","[0, 1, 1, 0]","[0, 0, 0, 0]",앉아있는모습,1.0,1,1.0,1,1.0,1,
8,경,A14,sit,1,"[0, 0, 0, 0]","[0, 0, 1, 0]","[0, 1, 1, 0]","[0, 0, 0, 0]",앉아 있는 모습에서 정적인 느낌을 받을 수 있음.,1.0,1 |  앉아 있는 정적인 느낌을 잘 나타냄.,2.0,2 |  대체로 낮은 음이 정적인 느낌에 잘 어울림.,2.0,2 |  대체로 낮은 밀도가 정적인 느낌과 잘 어울림.,
9,yoni,A14,sit,7,"[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[1, 1, 1, 1]",풀들이 바람에 흔들리는 듯한 느낌,8.0,8,7.0,7,8.0,8,
10,밍경댕,A14,sit,2,"[0, 0, 0, 0]","[0, 1, 1, 0]","[1, 1, 1, 1]","[1, 1, 1, 1]",풀이 바람에 흔들리는 것을 보아 역동적으로 느껴질 법도 하지만 여인의 얼굴색 및 표정이 너무 어두워 전혀 역동적으로 느껴지지 않음.,1.0,1 |  느린 템포로 여인의 어두운 표정을 표현하고 싶음.,4.0,4 |  여인은 어둡지만 꽃의 밝음이나 바람이 부는 걸로 보아 높낮이는 조금만 낮은 걸 선택하고싶음.,4.0,4 |  봄을 표현하기 위해 가벼운 밀도를 선택하고 싶으나 여인의 얼굴 및 표정으로 인해 조금의 밀도는 부여해야 할듯,
11,배뀽,A14,sit,5,"[1, 1, 0, 0]","[1, 0, 0, 0]","[1, 1, 1, 1]","[1, 1, 1, 1]",풀잎이 흔들리고 있음,5.0,5 | 산들산들,7.0,7 | 노란색이 밝다,7.0,7 | 잎이 많아서 촘촘한 느낌,
12,미지,A14,sit,7,"[0, 0, 0, 0]","[0, 0, 1, 1]","[1, 1, 1, 1]","[1, 1, 1, 1]",수풀이 날리는 모습과 세밀하게 표현한 뒷배경이 역동적인 느낌을 줌,5.0,5 | 흩날리는 수풀과 달리 가만히 앉아있는 여성의 모습이 역동성을 중화시키는 느낌이라 보통템포의 음악이 떠오름,5.0,5 | 위와 같음,8.0,8 | 빼곡한 수풀이 바람에 흔들리는 소리들이 높은 밀도로 표현되면 좋을 것 같음,
13,boldmas,A14,sit,7,"[0, 0, 0, 0]","[0, 0, 1, 0]","[1, 1, 1, 1]","[1, 1, 1, 1]",the main subject of the painting and the long grass,6.0,"6 | even though the character is resting, the tall grass seems to be in movement. and the different shades of grass, gives the artwork extra life",6.0,6 | the bright grass in the background and the tall moving grass in the front and the resting lady have a great balance.,3.0,"3 | except for the grass, nothing else is in movement.",
14,Seong Ho,A14,sit,3,"[0,0,0,0]","[0,0,1,0]","[0,1,1,0]","[1,1,1,1]",앉아있는 여성 + 바람 부는 느낌 = 3점 (앉아 있는 여성이 주는 정적인 느낌이 더 큼),2.0,  편안히 쉬는 느낌 표현 위해.,6.0,,1.0,"  선은 많지만, 앉아서 편히 쉬는 느낌을 표현하려면 sparse 해야 함. 앉아서 쉬는 느낌이 더 표현되었으면 함.",기묘함.
15,6400dc9af341e8a575a457f6,A14,sit,8,"[0,0,0,1]","[0,0,1,1]","[0,1,1,0]","[0,0,0,0]",the many color variants,5.0,,7.0,,9.0,,
16,6400dc9af341e8a575a457f6,A14,sit,8,"[0,0,0,1]","[0,0,1,1]","[0,1,1,0]","[0,0,0,0]",the many color variants,5.0,,7.0,,9.0,,
17,5e4875f3110b3730eefa32a1,A14,sit,0,"[0,0,0,0]","[0,0,0,0]","[0,1,1,0]","[0,0,0,0]",lady's skirt is bold,3.0,,3.0,,4.0,,
18,5e909d9ac9ce2503b2650797,A14,sit,2,"[0,0,0,0]","[0,0,0,0]","[0,0,0,0]","[1,1,1,1]",the movement look of the grass,5.0,,2.0,,4.0,,
19,5fc00a11268eb941e7d8b066,A14,sit,6,"[0,0,0,0]","[0,0,1,0]","[0,0,0,0]","[0,0,0,0]",The different colours on her face attract interest.,3.0,,7.0,,3.0,,
20,5b295f60bbd4880001117976,A14,sit,1,"[1,1,0,0]","[1,1,0,0]","[0,0,0,0]","[0,0,0,0]",Ony a slight dynamics from the corn behind the lady.,2.0,,3.0,,2.0,,
21,630100561dc47fd83f5b4745,A14,sit,0,"[0,0,0,0]","[0,0,0,0]","[0,1,1,0]","[0,0,0,0]",Not much in terms of dynamism in this picture. The hands are facing upwards. ,1.0,,1.0,,1.0,,
22,5f7959d0b6791155e6932dd1,A14,sit,7,"[1,1,1,1]","[1,1,0,0]","[0,0,0,0]","[0,0,0,0]",The brightness of the yellow far exceed anything else in the picture so show most dynamism.,7.0,  The tempo should be bright and on the faster side to match the bright yellow used in the picture.,7.0,  The pitch should also be higher to match the brightness of the yellow.,3.0,  The picture is generally light and so accopanying music should also be light.,I think a touch of sombreness should be added to the brightness of the music as the figure should also seems too dark for the picture so the music should also have a sense of that.
23,5967e9a831394d0001abdb3f,A14,sit,3,"[0,0,0,0]","[0,0,1,0]","[0,0,1,0]","[0,0,0,0]","Although the figure is still, it gives the impression that it could move at any moment",3.0,,3.0,,1.0,,
24,657421f9661ce9a8cd7482d1,A14,sit,8,"[0,0,0,0]","[0,1,1,0]","[0,1,1,0]","[0,1,1,0]",The other areas selected apart from the art work location help to show the beauty of the work the more,7.0,  The tempo of the song can be high but with coolness with direction to the wind,7.0,  The pitch can also be high,7.0,  The density can also be high too,
25,5e56590389b924000c184113,A14,sit,3,"[0,0,0,0]","[0,0,0,0]","[1,1,1,1]","[1,1,1,1]",Movement of grasses,5.0,,5.0,,5.0,,
26,65c4bfbc22bc351322c66e32,A14,sit,6,"[0,0,0,0]","[0,1,0,0]","[0,0,0,0]","[0,0,0,0]",Very beautiful look,1.0,,2.0,,6.0,,
27,63f77942d3cad20e65a411a9,A14,sit,8,"[1,1,1,1]","[1,1,0,1]","[1,1,0,1]","[1,1,1,1]",the flowers look like they're moving in the wind,2.0,,3.0,,1.0,,
28,5c584d2040378900013b6fb9,A14,sit,3,"[0,0,0,0]","[0,0,1,0]","[0,1,1,0]","[0,0,0,0]",This shows the lady and also the field of crops she is sitting in,1.0,,3.0,,2.0,,
29,613e454dca2db9fcef1f8e8d,A14,sit,3,"[1,1,0,0]","[1,1,1,1]","[0,1,1,0]","[1,1,1,1]","the grasses appear to be blowing in the wind, whilst the figure is seated and still",2.0,  The wind appears gently and the figure seems restful,7.0,"  Playful, lightness of the grasses and the yellow colour",3.0,"  Light , relaxed scene",
