,name,artwork,poseType,sod,gRoq1_mat,gRoq2_mat,gRoq3_mat,gRoq4_mat,reasons,tempo_score,tempo,pitch_score,pitch,density_score,density,additional_perception
0,나비,A19,standing,0,"[0, 0, 0, 0]","[0, 1, 1, 0]","[0, 1, 1, 0]","[0, 0, 0, 0]",너무 평온한 자세. 흰 바탕. 무표정,0.0,0,2.0,2,1.0,1,
1,rub,A19,standing,6,"[0, 0, 0, 0]","[1, 1, 1, 1]","[1, 0, 0, 1]","[0, 0, 0, 0]",her face and the blur wall make me feel like moving,3.0,3 |  it should be a slow tempo vibe after a mess for me,2.0,2 |  maybe should sounds a bit tragic or sad?,2.0,2 |  same reason above,
2,Daisy,A19,standing,2,"[0, 0, 0, 0]","[0, 1, 1, 0]","[0, 1, 1, 0]","[1, 1, 1, 1]","Only the woman in the painting can move around, which then leads to movements of objects on the floor.",2.0,"2 |  If there is movement, it would be very subtle.",2.0,2 |  The overall atmosphere is a bit gloomy.,2.0,2 |  Same reason with the question about the pitch.,
3,Doky,A19,standing,0,"[0, 0, 0, 0]","[0, 1, 1, 0]","[0, 1, 1, 0]","[0, 0, 0, 0]",인물이 주는 역동적 느낌은 전혀 없음.,2.0,2 |  하얗고 잔잔한 분위기와 정적인 느낌까지 나므로 빠르지 않은 템포가 어울림.,4.0,4 |  뭔가 미묘한 분위기로 인하여 보통이나 조금 낮은 핏치의 음이 연상됨. ,2.0,2 |  낮은 밀도의 음악이 잔잔하고 정적인 그림의 느낌과 어울림.,
4,chanpig,A19,standing,2,"[0, 0, 0, 0]","[0, 1, 1, 0]","[0, 1, 1, 0]","[0, 1, 1, 0]",사람이 걸어서 드레스가 뒤로 조금 끌린자국,2.0,2 |  가만히 서있어서 ,3.0,3 |  색감이 좀 칙칙해서 ,3.0,3 |  바닥에 동물 모피? 가 있어서 긴장감이 있음 ,
5,곤듀,A19,standing,0,"[0, 0, 0, 0]","[0, 1, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","인물, 배경, 표현 모두 역동적인 느낌이 들지 않음",2.0,2 |  상당히 정적으로 느껴지는 그림으로 느린 템포의 음악이 어울릴 것으로 생각됨,2.0,2 |  상당히 정적으로 느껴지는 그림으로 높은 피치의 음악은 어울리지 않을 것으로 생각됨,0.0,0 |  상당히 정적으로 느껴지는 그림으로 낮은 밀도의 음을 길게 늘어 트리는 형식의 음악이 어울릴 것으로 생각됨.,
6,이인애,A19,standing,1,"[1, 1, 1, 1]","[1, 1, 1, 1]","[1, 1, 1, 1]","[0, 0, 0, 0]",배경선과 인물이 평행구조,3.0,3,2.0,2,6.0,6,
7,고고,A19,standing,0,"[0, 0, 0, 0]","[0, 1, 1, 0]","[0, 1, 1, 0]","[0, 1, 1, 0]",제자리에 서있음,0.0,0,0.0,0,0.0,0,
8,경,A19,standing,1,"[0, 0, 0, 0]","[0, 1, 1, 0]","[0, 0, 1, 0]","[0, 1, 0, 0]",가만히 서 있는 정적인 분위기를 느낄 수 있음.,1.0,1 |  가만히 서 있는 정적인 분위기를 잘 나타냄.,2.0,2 |  정적인 분위기를 잘 나타냄.,1.0,1 |  가만히 서 있는 정적인 분위기를 잘 드러냄.,
9,yoni,A19,standing,5,"[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[1, 1, 1, 1]",인물의 옷과 벽고ㅏ 대비되는 바닥  ,3.0,3,3.0,3,7.0,7,
10,밍경댕,A19,standing,3,"[0, 0, 0, 0]","[0, 1, 1, 0]","[0, 1, 1, 0]","[1, 1, 1, 1]",바닥에 있는 동물 사체들과 여인의 표정이 너무 대비가 돼 오히려 조금 역동적인 느낌을 줌.,1.0,1 |  차갑고 차분한 음악이 표현 될 것 같음 ,9.0,9 |  높은 음으로 여인의 무관심함을 표현할 것 같음.,1.0,1 |  낮은 밀도로 여인의 공허함을 표현,
11,배뀽,A19,standing,0,"[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 1, 0, 0]",여자 표정이 너무 우울하고 색채도 어두워서 역동성이 없음,2.0,2 |  우울하다 ,3.0,3 |  귀를 때리는 소리는 아닌 것 같음,7.0,7 |  스산한 분위기를 나타내면 좋을 것 같다 ,
12,미지,A19,standing,1,"[0, 0, 0, 0]","[0, 1, 1, 0]","[0, 1, 1, 0]","[1, 1, 1, 1]",폐허같은 배경과 머리카락 옷의 움직임이 없는 모습이 정적으로 느껴짐,0.0,0 | 폐허의 느낌을 살리기위해,1.0,1 | 음울한 분위기의 낮은 음,1.0,1 | 밀도가 높을수록 풍요로운 느낌을 줄 수 있으므로 공허한 느낌은 낮은 밀도의 음악으로 표현,
13,boldmas,A19,standing,2,"[0, 0, 0, 0]","[0, 1, 1, 0]","[0, 1, 1, 0]","[0, 1, 1, 0]",The subject of the painting is standing there,3.0,"3 | The subject is standing in a neutral position, wearing white, and not much movement is happening.",5.0,5 | the colors and the character are very neutral,1.0,1 | not much is going on in terms of color and movements,
14,Seong Ho,A19,satnding,0,"[0,0,0,0]","[0,1,1,0]","[0,1,1,0]","[0,1,1,0]",외롭게 서있는 여자가 정적인 느낌을 강하게 줌.,0.0,  외로운 느낌이 표현되었으면 함.,2.0,  톤다운된 색채감 표현 원함.,0.0,  외로운 느낌이 표현되었으면 함.,외로움. 사연있는 느낌.
15,6400dc9af341e8a575a457f6,A19,satnding,3,"[0,0,0,0]","[0,0,0,0]","[0,1,0,1]","[1,1,1,1]",the ground of this image contains the most variation in colors,1.0,,2.0,,8.0,,
16,6400dc9af341e8a575a457f6,A19,satnding,3,"[0,0,0,0]","[0,0,0,0]","[0,1,0,1]","[1,1,1,1]",the ground of this image contains the most variation in colors,1.0,,2.0,,8.0,,
17,5e4875f3110b3730eefa32a1,A19,satnding,3,"[0,0,0,0]","[0,1,1,0]","[0,1,1,0]","[0,0,0,0]",the main character,3.0,,4.0,,5.0,,
18,5e909d9ac9ce2503b2650797,A19,satnding,0,"[1,0,0,0]","[0,0,0,0]","[0,0,0,0]","[0,0,0,0]",not at all dynamic,1.0,,1.0,,6.0,,
19,5fc00a11268eb941e7d8b066,A19,satnding,7,"[0,0,0,0]","[0,1,1,0]","[0,0,0,0]","[0,0,0,0]",The emotion of the woman's face really captivates the viewer.,3.0,,7.0,,1.0,,
20,5b295f60bbd4880001117976,A19,satnding,5,"[0,0,0,0]","[0,1,1,0]","[0,1,1,0]","[0,1,1,0]",Figure appears haunted by something. ,2.0,,3.0,,5.0,,
21,630100561dc47fd83f5b4745,A19,satnding,0,"[0,0,0,0]","[0,0,0,0]","[0,0,1,0]","[0,0,1,0]",Very little dynamic about this picture but her dress is dragging across the floor. ,0.0,,0.0,,1.0,,
22,5f7959d0b6791155e6932dd1,A19,satnding,6,"[0,0,0,0]","[0,1,1,0]","[0,0,0,0]","[0,0,0,0]",The expression on the face of the figure is what drew in eyes and so brings the dynamism.,3.0,  There is a sense of longing in this picture tat would be best depicted in low tempo.,2.0,  The sadness of the picture should be shown in a low pitched music.,8.0,"  Although the colours in the picture is light, the feeling I get from the figure in heavy and sad and so I think it would be best depicted in a dense piece of music.",The music should be sorrowful and forlorn like the picture.
23,5967e9a831394d0001abdb3f,A19,satnding,0,"[0,0,0,0]","[0,1,1,0]","[0,1,1,0]","[0,1,1,0]",The figure is standing still,1.0,,2.0,,1.0,,
24,657421f9661ce9a8cd7482d1,A19,satnding,9,"[0,1,1,0]","[1,1,1,0]","[1,1,1,0]","[1,1,1,0]", perfect sense of dynamic,5.0,  Moderate tempo music is good for the art work ,5.0,  Moderate pitch music is good for the art work ,5.0,  Moderate density music is good for the art work ,
25,5e56590389b924000c184113,A19,satnding,6,"[0,0,0,0]","[0,1,1,0]","[0,1,1,0]","[0,1,1,0]",Intensity of the portrait. ,7.0,,5.0,,8.0,,A richness and intensity
26,65c4bfbc22bc351322c66e32,A19,satnding,3,"[0,1,1,0]","[1,0,0,0]","[0,1,0,0]","[0,0,1,0]",Very outstanding,5.0,,4.0,,5.0,,
27,63f77942d3cad20e65a411a9,A19,satnding,0,"[0,0,0,0]","[0,0,0,0]","[0,0,0,0]","[1,0,0,0]",no sense of dynamics,2.0,,5.0,,3.0,,
28,5c584d2040378900013b6fb9,A19,satnding,1,"[0,0,0,0]","[0,1,1,0]","[0,1,1,0]","[0,1,1,0]",There is no movement or energy to this. her dress is still,1.0,,1.0,,1.0,,
29,613e454dca2db9fcef1f8e8d,A19,satnding,0,"[0,0,0,0]","[0,1,1,0]","[0,1,1,0]","[0,1,1,0]","The figure stands still, no movement indicated in arms or legs or clothing, her hair hangs straight",1.0,  it should be gentle and reflective to reflect the static ;thoughtful' pose,5.0,  There is a balance in the image between a haunting presence and a calm reflectiveness which i think it best represented by a moderate pitch,7.0,  There is an intensity created by the muted colours and the stillness of the pose.,
