,name,artwork,poseType,sod,gRoq1_mat,gRoq2_mat,gRoq3_mat,gRoq4_mat,reasons,tempo_score,tempo,pitch_score,pitch,density_score,density,additional_perception
1,Seong Ho,A12,fight,10,"[0,1,1,0]","[1,1,1,1]","[0,1,1,1]","[0,0,0,0]","B1 & C1 같은 텍스쳐, 사람들이 하는 행동들이 역동적임.",10,  싸움을 하는 상황을 긴장감 있게 표현하려면 빨라야 할 것 같음.,7,  빨간색 느낌이 높은 피치와 어울릴 듯.,10,"  객체가 3명이고, 합을 이루는 느낌을 표현하려면 밀도가 높아야 할 것 같음.",정열적인 색감?
2,5e67524094c67a000a04ca8e,A12,fight,8,"[0,0,1,0]","[0,1,1,1]","[0,1,1,1]","[0,1,1,1]",The photo screams conflict and athleticism to me. ,1,  It almost feels as if the photo is moving in slow motion. ,0,  Very slow motion type feeling,3,nan,nan
3,6400dc9af341e8a575a457f6,A12,fight,8,"[0,0,1,1]","[1,1,1,1]","[1,1,1,1]","[1,1,1,1]",these areas are very frenetic and indicative of hurried motion,9,nan,4,nan,7,nan,nan
4,5e4875f3110b3730eefa32a1,A12,fight,9,"[1,1,1,1]","[0,1,1,0]","[0,1,1,0]","[0,1,1,0]",The overall colours applied in this piece are dynamic colours and so result in a striking piece of art,9,nan,9,nan,9,nan,nan
5,5e909d9ac9ce2503b2650797,A12,fight,5,"[0,0,0,0]","[0,1,1,1]","[0,0,0,0]","[0,0,0,0]",all the hands indicate rushed movement or frenzied activity ,7,nan,8,nan,7,nan,nan
6,5fc00a11268eb941e7d8b066,A12,fight,8,"[0,0,0,0]","[0,1,0,0]","[0,0,0,0]","[0,0,0,0]",The blue really stands out in the picture.,9,  Looks like a fight scene.,3,nan,8,nan,nan
7,5b295f60bbd4880001117976,A12,fight,6,"[0,0,0,0]","[0,1,1,1]","[0,1,1,0]","[0,0,1,0]",The figures are moving with energy,6,nan,7,nan,7,nan,nan
8,630100561dc47fd83f5b4745,A12,fight,10,"[0,1,1,0]","[1,1,1,1]","[1,1,1,1]","[1,1,1,1]",It looks like they are fighting or creating a motion where they are moving towards each other in a hostile way. ,10,nan,10,nan,8,nan,nan
9,5f7959d0b6791155e6932dd1,A12,fight,7,"[0,1,0,0]","[0,1,1,0]","[0,1,0,0]","[0,0,0,0]",The highlights of these particular limbs seems to be made through the lighter colour used. The action of the hands draws the eye's attention.,8,  The men look like they are in a dance or a fight and so the tempo should be fast to portray this.,2,  I feel the pitch should be low and dramatic to mimic a man's voice.,7,  The drama of the picture would be best depicted in a dense piece of music. Something that is violent and thrilling.,"There should be strong beats in the music, like you would get blows in a fight."
10,5967e9a831394d0001abdb3f,A12,fight,7,"[0,1,0,0]","[1,1,1,0]","[1,1,0,0]","[1,1,0,0]",The checked areas show the figure being very dynamic with their movement,7,  Needs to reflect the dramatic nature of the movement of the figure,7,nan,6,nan,The music needs to build up to a crescendo
11,657421f9661ce9a8cd7482d1,A12,fight,10,"[1,1,1,1]","[1,1,1,1]","[1,1,1,1]","[1,1,1,1]",The art work capture the whole area such that no area can be left untouched with the beauty and blending of the art work.,10,  A battle require high tempo of music,10,  A battle require high pitch of music,10,  A battle require high  density of music,animative sound clip can also be added to the music like 
12,5e56590389b924000c184113,A12,fight,9,"[0,1,1,0]","[1,1,1,1]","[1,1,1,1]","[1,0,0,0]","They contain the image of bodies, moving and interacting",9,nan,3,nan,8,nan,A sense of conflict
13,65c4bfbc22bc351322c66e32,A12,fight,6,"[1,0,0,0]","[0,0,0,0]","[0,0,0,0]","[0,0,0,0]",It stands out differently,3,nan,3,nan,5,nan,nan
14,63f77942d3cad20e65a411a9,A12,fight,10,"[1,1,1,1]","[1,1,1,1]","[1,1,1,1]","[1,1,1,1]",the whole picture looks in motion,8,nan,3,nan,8,nan,nan
15,5c584d2040378900013b6fb9,A12,fight,7,"[0,0,1,0]","[1,1,1,1]","[1,1,1,1]","[1,1,1,0]",There is alot going on in a large area of the picture. all together shows a possibly emotion.,6,"  This looks like a possible aggression situation, so couldnt be slow. But not fast and happy. ",3,"  Because of the male and aggression aspect, itd be more fitting for a low tone. ",5,"  I think in the middle as this isnt a calm situation, and not a full on fight yet",The shoes and thighs are making me think they are ballerinas
16,613e454dca2db9fcef1f8e8d,A12,fight,9,"[0,1,0,0]","[0,1,1,0]","[0,1,0,0]","[0,1,0,0]","Outstretched arm and hands indicate movement. Tense muscles and blurred outlines, foot raised off the floor",8,"  Fast movements, dramatic scene",3,"  Forceful, dominant, representing anger",7,  To represent the emotional tension and dramatic nature,nan
