,name,artwork,poseType,sod,gRoq1_mat,gRoq2_mat,gRoq3_mat,gRoq4_mat,reasons,tempo_score,tempo,pitch_score,pitch,density_score,density,additional_perception
1,Seong Ho,A11,fight,10,"[0,0,0,0]","[1,1,1,1]","[0,1,1,1]","[0,1,1,0]","싸우는 사람들, 물결 무늬 패턴이 역동적임.",9,nan,7,  고동색 느낌,10,  싸우는 사람과 물결 무늬가 하나하나 표현되었으면 해서.,nan
2,5e67524094c67a000a04ca8e,A11,fight,8,"[0,0,0,0]","[0,1,1,0]","[0,1,1,0]","[0,1,1,0]",The movement from the men in the photos tell a very dynamic story of conflict,8,nan,7,nan,7,nan,nan
3,6400dc9af341e8a575a457f6,A11,fight,8,"[0,1,1,1]","[0,1,1,0]","[0,1,1,0]","[1,1,1,1]",features multiple figures moving synchronously,5,nan,2,nan,7,nan,nan
4,5e4875f3110b3730eefa32a1,A11,fight,8,"[1,1,1,1]","[0,1,1,1]","[0,1,1,1]","[0,1,1,0]",the scene,8,nan,9,nan,10,nan,nan
5,5e909d9ac9ce2503b2650797,A11,fight,3,"[0,0,1,0]","[0,1,1,0]","[0,1,1,0]","[0,0,0,0]",they show the actions of the people,4,nan,2,nan,7,nan,nan
6,5fc00a11268eb941e7d8b066,A11,fight,8,"[0,0,0,0]","[0,1,0,0]","[0,0,0,0]","[0,0,0,0]",The light on the man's face is powerful.,8,nan,9,nan,4,nan,nan
7,5b295f60bbd4880001117976,A11,fight,6,"[0,0,0,0]","[0,1,1,0]","[0,1,1,0]","[0,1,1,0]",Figures are fighting/grappling with each other,8,nan,6,nan,7,nan,nan
8,630100561dc47fd83f5b4745,A11,fight,10,"[0,1,1,0]","[1,1,1,0]","[0,1,1,1]","[0,0,0,0]",The way the people are all moving towards each other in a hostile way. ,10,nan,10,nan,10,nan,nan
9,5f7959d0b6791155e6932dd1,A11,fight,7,"[0,0,0,0]","[0,1,1,0]","[0,0,0,0]","[0,0,0,0]",How high the arms are in the picture shows true effort and so brings the dynamism.,7,  This picture show a fight and so the steady yet quick nature of blows in a fight should also be portrayed in the music.,2,  The grounded-ness of the men's feet in the mud makes me think the music should be low and grounded.,8,  The grappling nature and numerous bodies in the picture makes me think that the music should also be dense.,There should be a number of low sounding instruments should be used to depict a battle.
10,5967e9a831394d0001abdb3f,A11,fight,5,"[0,0,0,0]","[0,1,1,0]","[0,1,1,0]","[0,1,1,0]","The figures appear to be fighting each other, creating dynamism",6,nan,6,  To add drama,5,nan,nan
11,657421f9661ce9a8cd7482d1,A11,fight,10,"[1,1,1,1]","[1,1,1,1]","[1,1,1,1]","[1,1,1,1]",The beauty of the art work is well display with respect to its background design.,5,  Moderate tempo music is good for the art work ,5,  Moderate pitch music is good for the art work ,5,  Moderate density music is good for the art work ,nan
12,5e56590389b924000c184113,A11,fight,7,"[0,1,1,0]","[0,1,1,0]","[0,1,1,0]","[0,1,1,0]","Three interlocking bodies, sense of movement and discord",7,nan,2,nan,8,nan,nan
13,65c4bfbc22bc351322c66e32,A11,fight,7,"[0,0,0,0]","[0,1,0,0]","[0,0,1,0]","[0,1,1,0]",They look very special and outstanding,2,nan,2,nan,7,nan,nan
14,63f77942d3cad20e65a411a9,A11,fight,8,"[0,0,0,0]","[1,1,1,1]","[1,1,1,1]","[1,1,1,1]",the men are fighting,7,nan,3,nan,8,nan,nan
15,5c584d2040378900013b6fb9,A11,fight,5,"[0,0,1,0]","[0,1,1,0]","[0,1,1,0]","[0,1,1,0]",The movement shown by the silhouettes in the background give a fast paced and aggressive emotion to this,7,nan,5,nan,7,nan,nan
16,613e454dca2db9fcef1f8e8d,A11,fight,10,"[0,0,1,0]","[0,1,1,0]","[0,1,0,0]","[0,1,0,0]",Arms outstretched as if about to throw. Stance wide to support strength and movement.,7,  It looks like a fight with a lot of movement and dramatic tension,3,"  The figures look heaving and the scene is in muted colours, all indicate lower tones to me.",8,  There is a lot happening and the dark colours give a feeling of density,nan
