지정 닉네임 (Assigned Nickname),"[역동성] 이 그림에서 느껴지는 ‘역동적인 느낌의 정도 (다이나믹한 정도) ' 는 어느정도인가요? [Sense of Dynamics] Could you clarify the perceived level of ""dynamic feeling"" in this picture?",[[역동성] 그림의 어느 부분 이 '역동적인 느낌의 정도'를 판단 하는데 영향을 주었나요?? [Sense of Dynamics] Which part of the picture influenced the perception of the 'degree of sense of dynamics'?] [,[[역동성] 그림의 어느 부분 이 '역동적인 느낌의 정도'를 판단 하는데 영향을 주었나요?? [Sense of Dynamics] Which part of the picture influenced the perception of the 'degree of sense of dynamics'?] [,[[역동성] 그림의 어느 부분 이 '역동적인 느낌의 정도'를 판단 하는데 영향을 주었나요?? [Sense of Dynamics] Which part of the picture influenced the perception of the 'degree of sense of dynamics'?] [,[[역동성] 그림의 어느 부분 이 '역동적인 느낌의 정도'를 판단 하는데 영향을 주었나요?? [Sense of Dynamics] Which part of the picture influenced the perception of the 'degree of sense of dynamics'?] [,[역동성] 해당 부분이 역동적 느낌의 정도에 영향을 느끼게한 이유 는 무엇인지 설명해주세요. [Sense of Dynamics] Please explain why the checked areas have an impact on the perceived level of dynamism in the picture.,[음악적 표현] 이 그림,[음악적 표현] 이 그림,[음악적 표현] 이 그림,"이 그림을 표현한 음악이 있다면, 그림의 역동적인 정도 외에 또 표현되었으면 하는 느낌 이 있나요? If there were music representing this picture, do you have any additional feelings you would like to be expressed other than the ""dynamics""?"
나비,1,,,"[열C] colC,[열D] colD,[열B] colB","[열C] colC,[열D] colD,[열B] colB",너무 평온해보이는 자세,1,1,1,밤인지 낮인지에 따른 느림과 빠름의 표현?
rub,4,,,"[열B] colB,[열C] colC",,the horse is eating grass,3 |  they are resting and the color is not really energetic,4 |  relaxing and not dangerous,3 |  relaxing and not dangerous + it's night time,speed in something like this (https://youtu.be/WAoLJ8GbA4Y?si=o3qn_t5UtibJPMJR)
Daisy,5,,,"[열C] colC,[열D] colD","[열C] colC,[열D] colD,[열B] colB",There are humans and animals in the checked boxes.,"1 |  The two people are sleeping, so I think slow music would fit best.","3 |  They are sleeping, so the pitch should not be too high to wake them up.",3 |  And sparse music would be better for sleeping.,I think the scene is very peaceful that I want to try living there.
Doky,0,,,"[열C] colC,[열D] colD",,역동적인 느낌이 없음.,1 |  인물의 역동적 움직임이 없기 때문에 느린 템포가 연상됨.,4 |  '쉼'이지만 너무 낮지는 않은 음이 어울림. 그림의 색채가 비교적 밝고 강렬함. ,2 |  음악의 밀도는 낮고 좀 차분하고 잔잔한 음악이 어울림. ,잔잔하면서도 발랄한 분위기.
chanpig,2,,,"[열C] colC,[열B] colB","[열B] colB,[열C] colC",사람들이 일을하다가 누어있ㄴ음,2 |  일을하다가 쉬는중에 잠을 자는데 푹 잠든 느낌 ,2 |  일을하다가 쉬는중에 잠을 자는데 푹 잠든 느낌 ,2 |  일을하다가 쉬는중에 잠을 자는데 푹 잠든 느낌 배경 색감이 어두운걸로 보아 밤이 되어가는 그느낌이밀도가 낮을듯하다,없다
곤듀,1,[열D] colD,[열D] colD,"[열C] colC,[열D] colD,[열B] colB,[열A] colA","[열D] colD,[열C] colC,[열B] colB","인물들의 쉬고 있는 동작, 주변의 작업 도구, 쌓여있는 짚단?이 보임에 따라 어떠한 일이 끝난 후를 보여주는 정적인 느낌을 받음",3 |  정적인 느낌을 주는 그림에는 다소 느린 템포의 음악이 어울릴 것으로 생각함,"3 |  본 그림에서는 정적이면서도, 평안한 느낌을 받음. 매우 낮은 음은 해당하지 않으며, 약간 낮은 음에서 보통음까지 어울릴 것이라고 생각함",3 |  너무 늘어지는 매우 낮은 밀도는 제외하고 적당히 낮은 밀도에서 보통까지 어울릴 것이라고 생각함.,없음
이인애,2,,,"[열A] colA,[열B] colB","[열C] colC,[열D] colD",배경선과인물구도가같은가로평행구조,1,2,3,여유
고고,0,,,"[열D] colD,[열C] colC","[열D] colD,[열C] colC",잠든 모습,0,0,0,없음
경,1,,,"[열B] colB,[열C] colC,[열D] colD","[열C] colC,[열D] colD","사람들이 자고 있는 모습에서 정적인 느낌을, 그러나 동물 그림으로부터 아주아주 약간의 동적인 느낌을 얻을 수 있음.",1 |  잠을 자고 있는 정적인 모습을 잘 드러냄.,"3 |  잠을 자는 정적인 모습, 움직일지도 모르는 동물 장면에 잘 어울림.",2 |  낮은 밀도가 대체로 정적인 이 그림과 잘 어울림.,평화로움.
yoni,2,"[열A] colA,[열B] colB,[열C] colC,[열D] colD",,"[열D] colD,[열C] colC,[열B] colB",,인물의 자세 그림의 시간대 얌전한 동물,3,7,3,없음
