지정 닉네임 (Assigned Nickname),"[역동성] 이 그림에서 느껴지는 ‘역동적인 느낌의 정도 (다이나믹한 정도) ' 는 어느정도인가요? [Sense of Dynamics] Could you clarify the perceived level of ""dynamic feeling"" in this picture?",[[역동성] 그림의 어느 부분 이 '역동적인 느낌의 정도'를 판단 하는데 영향을 주었나요?? [Sense of Dynamics] Which part of the picture influenced the perception of the 'degree of sense of dynamics'?] [,[[역동성] 그림의 어느 부분 이 '역동적인 느낌의 정도'를 판단 하는데 영향을 주었나요?? [Sense of Dynamics] Which part of the picture influenced the perception of the 'degree of sense of dynamics'?] [,[[역동성] 그림의 어느 부분 이 '역동적인 느낌의 정도'를 판단 하는데 영향을 주었나요?? [Sense of Dynamics] Which part of the picture influenced the perception of the 'degree of sense of dynamics'?] [,[[역동성] 그림의 어느 부분 이 '역동적인 느낌의 정도'를 판단 하는데 영향을 주었나요?? [Sense of Dynamics] Which part of the picture influenced the perception of the 'degree of sense of dynamics'?] [,[역동성] 해당 부분이 역동적 느낌의 정도에 영향을 느끼게한 이유 는 무엇인지 설명해주세요. [Sense of Dynamics] Please explain why the checked areas have an impact on the perceived level of dynamism in the picture.,[음악적 표현] 이 그림,[음악적 표현] 이 그림,[음악적 표현] 이 그림,"이 그림을 표현한 음악이 있다면, 그림의 역동적인 정도 외에 또 표현되었으면 하는 느낌 이 있나요? If there were music representing this picture, do you have any additional feelings you would like to be expressed other than the ""dynamics""?"
나비,8,,"[열C] colC,[열D] colD","[열B] colB,[열C] colC","[열B] colB,[열C] colC",힘찬 발걸음 + 손의 자연스러운 움직임의 범위,9,7,9,빛의 밝기 
rub,8,,,"[열B] colB,[열C] colC",,"they seems are running in speed, or pursuing something",4 |  even though they are running but it's not stressful at all,7 |  it reminds me of harps or bells,7 |  it's really light but not mad,"light but not mad, cute"
Daisy,8,,"[열B] colB,[열C] colC","[열A] colA,[열B] colB,[열C] colC,[열D] colD","[열B] colB,[열C] colC",There are two children at the center of the painting.,"6 |  While the children look very active, they are painted as being surrounded by some orange aura that sets the boundary for their activeness.",6 |  The sunlight and the sea make me feel like the pitch is at this level.,"7 |  The children’s activities, and the motion of the waves that makes the reflection of the sunlight on the water look like the water is moving fast, almost like dancing.",I feel the freedom yet some limitations in this painting.
Doky,7,,,"[열B] colB,[열C] colC",,주체가 아이들이라는 점과 뛰어노는 움직임 그 자체.,8 |  경쾌하고 발랄한 아이들의 역동적 이미지를 잘 표현하기 위해 빠른 템포가 어울림.,8 |  분위기와 색채가 밝고 발랄하기 때문에 높은 핏치의 음악이 더 어울림. ,"7 |  경쾌하고 발랄함을 위하여 밀도 있는 화음이 있는 것이 좋을 것 같음,",천진난만함을 잘 표현할 수 있는 멜로디와 표현력. 
chanpig,7,,"[열C] colC,[열D] colD","[열B] colB,[열C] colC","[열B] colB,[열C] colC",몸의 움직임? 물의 튐? ,6 |  몸의 움직임? 물의 튐? 앞쪽으로 몸이 기울어져짐,6 |  몸의 움직임? 물의 튐? 애들이 기분좋게 뛰어다녀서 높은 느낌 ,4 |  몸의 움직임? 물의 튐? 밀도는 아이들이랑 가벼운 느낌이 듬,없어요 
곤듀,8,,"[열C] colC,[열B] colB,[열D] colD","[열B] colB,[열C] colC,[열A] colA","[열C] colC,[열B] colB",물속을 달려가는 인물들의 사실적인 인체표현에서 역동적인 느낌을 받음,"5 |  인물들의 행위에서는 매우 역동적임을 느끼나, 그림 주변으로 감싸고있는 색감이 주는 감성적인 느낌에 빠른 템포는 어울리지 않을 것으로 생각함.",7 |  그림속의 인물들이 어린 형제를 연상케함에 따라 약간의 높은 피치가 어울릴 것으로 생각됨,3 |  역동적임이 느껴지는 그림이나 분주하고 급박한 느낌은 들지 않으므로 높은 밀도의 음은 어울리지 않을 것으로 생각함 ,"그림 전체를 감싸고 있는 색감에 의해 역동적임 보다는 그리움, 추억, 평온함 등의 느낌이 표현되었으면 좋겠음"
이인애,6,,[열D] colD,"[열C] colC,[열B] colB,[열A] colA",,"밝은빛, 움직임",6,6,4,신남
고고,8,,[열C] colC,"[열B] colB,[열C] colC,[열A] colA","[열C] colC,[열B] colB",손을잡고 뛰는 모습,8,8,8,없음
경,10,,[열D] colD,"[열C] colC,[열B] colB","[열B] colB,[열C] colC",아이들이 달리는 모습과 물이 튀는 모습까지 역동성을 잘 느낄 수 있게 함.,9 |  아이들이 달리는 역동적인 장면이 빠른 속도의 음악과 잘 어울림.,6 |  밝은 아이들의 가벼운 움직임을 잘 드러냄.,6 |  가벼운 아이들의 움직임을 잘 드러냄.,"맑음, 행복"
yoni,8,,"[열B] colB,[열C] colC","[열B] colB,[열C] colC",[열B] colB,인물의 연령대가 주는 역동적임 스포트라이트되는듯한 그림의 느낌,5,5,7,없음
