지정 닉네임 (Assigned Nickname),"[역동성] 이 그림에서 느껴지는 ‘역동적인 느낌의 정도 (다이나믹한 정도) ' 는 어느정도인가요? [Sense of Dynamics] Could you clarify the perceived level of ""dynamic feeling"" in this picture?",[[역동성] 그림의 어느 부분 이 '역동적인 느낌의 정도'를 판단 하는데 영향을 주었나요?? [Sense of Dynamics] Which part of the picture influenced the perception of the 'degree of sense of dynamics'?] [,[[역동성] 그림의 어느 부분 이 '역동적인 느낌의 정도'를 판단 하는데 영향을 주었나요?? [Sense of Dynamics] Which part of the picture influenced the perception of the 'degree of sense of dynamics'?] [,[[역동성] 그림의 어느 부분 이 '역동적인 느낌의 정도'를 판단 하는데 영향을 주었나요?? [Sense of Dynamics] Which part of the picture influenced the perception of the 'degree of sense of dynamics'?] [,[[역동성] 그림의 어느 부분 이 '역동적인 느낌의 정도'를 판단 하는데 영향을 주었나요?? [Sense of Dynamics] Which part of the picture influenced the perception of the 'degree of sense of dynamics'?] [,[역동성] 해당 부분이 역동적 느낌의 정도에 영향을 느끼게한 이유 는 무엇인지 설명해주세요. [Sense of Dynamics] Please explain why the checked areas have an impact on the perceived level of dynamism in the picture.,[음악적 표현] 이 그림,[음악적 표현] 이 그림,[음악적 표현] 이 그림,"이 그림을 표현한 음악이 있다면, 그림의 역동적인 정도 외에 또 표현되었으면 하는 느낌 이 있나요? If there were music representing this picture, do you have any additional feelings you would like to be expressed other than the ""dynamics""?"
나비,8,,[열C] colC,[열C] colC,[열C] colC,팔다리의 움직임. 가만히있지 않는 자세,8,7,9,없음
rub,8,[열C] colC,"[열A] colA,[열B] colB,[열C] colC","[열A] colA,[열B] colB,[열C] colC",,the characters in the painting are all really vivid,9 |  they are partying!!,8 |  the flute and tambourine makes me feel like that,9 |  the flute and tambourine makes me feel like that,there should be a cadenza
Daisy,9,,"[열A] colA,[열B] colB,[열C] colC,[열D] colD","[열A] colA,[열B] colB,[열C] colC,[열D] colD","[열A] colA,[열C] colC",There is a huge group of people who are enjoying the music.,8 |  I think it’s a happy dance to celebrate the harvest season.,"6 |  The pitch is not very high, but it should sound full of joy and fun.","7 |  Since it’s a happy dance, the density should be relatively high.",I think the joyful feeling is clearly delivered through this painting.
Doky,8,,[열C] colC,[열C] colC,,인물의 움직임과 악기(탬버린)의 가미. 또한 밝고 강렬한 색채.,7 |  악기가 보여지므로 조금 빠른 템포의 움직임이 어울릴 것 같음.,8 |  강렬하고 화려한 색채로 인하여 높은 핏치의 음악이 어울림.,8 |  뭔가 빠르고 밀도 있는 음악이 경쾌한 상황과 역동성과 어울림. ,밝고 화려한 색채. 악기의 느낌. 
chanpig,5,,[열C] colC,[열C] colC,,탬버린을 흔드는 모습이 역동적이다 ,6 |  막 빠른 느낌은 없고 짤랑 짤랑 흔들꺼같음 ,5 |  색감이 조금 밝은 색이 아니라서 음이 높지않을것같다 ,8 |  색감이 명암이 좀 탁한편이라 밀도가 높아보임 ,없음 
곤듀,6,"[열A] colA,[열D] colD","[열B] colB,[열A] colA,[열C] colC,[열D] colD","[열A] colA,[열B] colB,[열C] colC,[열D] colD",,인물들의 표정 및 주변 배경을 표현함에 있어서 현실적인 역동성이 느껴짐,7 |  인물들의 표정과 탬버린과 같은 타악기를 들고 춤을추는 듯한 모습에 매우 빠르진 않지만 약간은 빠른템포의 음악이 어울릴 것으로 생각함,5 |  그림에서 음의 높낮이를 조절하여 인위적으로 만드는 음악 또는 노래가 아닌 사람의 육성이 들리는 듯한 느낌을 받음.,"5 |  그림에서 현실적인 느낌을 받고 있으며, 적당한 밀도의 음악이 어울릴 것으로 생각함",자연의 소리보다는 인간이 낼수 있는 현실적인 표현이 추가되면 음악이 더 풍부해 질것이라 생각함
이인애,5,,[열C] colC,"[열B] colB,[열C] colC",,움직임표현,6,6,3,축제
고고,7,,[열C] colC,[열C] colC,[열C] colC,춤추는 모습,7,7,7,없음
경,9,,[열C] colC,"[열B] colB,[열C] colC",[열C] colC,춤추는 모습과 박수 치는 모습을 통해 활동적인 느낌을 받을 수 있음.,8 |  가볍고 밝은 춤을 추는 움직임을 잘 드러냄.,7 |  춤을 추는 움직임을 잘 드러냄.,8 |  가볍게 춤을 추는 화려한 움직임을 잘 드러냄.,신나는 느낌.
yoni,7,"[열C] colC,[열D] colD",[열C] colC,[열B] colB,[열C] colC,인물의 움직임 관객의 표정,5,8,7,없음
