지정 닉네임 (Assigned Nickname),"[역동성] 이 그림에서 느껴지는 ‘역동적인 느낌의 정도 (다이나믹한 정도) ' 는 어느정도인가요? [Sense of Dynamics] Could you clarify the perceived level of ""dynamic feeling"" in this picture?",[[역동성] 그림의 어느 부분 이 '역동적인 느낌의 정도'를 판단 하는데 영향을 주었나요?? [Sense of Dynamics] Which part of the picture influenced the perception of the 'degree of sense of dynamics'?] [,[[역동성] 그림의 어느 부분 이 '역동적인 느낌의 정도'를 판단 하는데 영향을 주었나요?? [Sense of Dynamics] Which part of the picture influenced the perception of the 'degree of sense of dynamics'?] [,[[역동성] 그림의 어느 부분 이 '역동적인 느낌의 정도'를 판단 하는데 영향을 주었나요?? [Sense of Dynamics] Which part of the picture influenced the perception of the 'degree of sense of dynamics'?] [,[[역동성] 그림의 어느 부분 이 '역동적인 느낌의 정도'를 판단 하는데 영향을 주었나요?? [Sense of Dynamics] Which part of the picture influenced the perception of the 'degree of sense of dynamics'?] [,[역동성] 해당 부분이 역동적 느낌의 정도에 영향을 느끼게한 이유 는 무엇인지 설명해주세요. [Sense of Dynamics] Please explain why the checked areas have an impact on the perceived level of dynamism in the picture.,[음악적 표현] 이 그림,[음악적 표현] 이 그림,[음악적 표현] 이 그림,"이 그림을 표현한 음악이 있다면, 그림의 역동적인 정도 외에 또 표현되었으면 하는 느낌 이 있나요? If there were music representing this picture, do you have any additional feelings you would like to be expressed other than the ""dynamics""?"
나비,0,,"[열B] colB,[열C] colC","[열C] colC,[열B] colB",,너무 평온한 자세. 흰 바탕. 무표정,0,2,1,"여자의 무표정에서 오는, 화자의 감정"
rub,6,,"[열B] colB,[열C] colC,[열A] colA,[열D] colD","[열A] colA,[열D] colD",,her face and the blur wall make me feel like moving,3 |  it should be a slow tempo vibe after a mess for me,2 |  maybe should sounds a bit tragic or sad?,2 |  same reason above,"Lugubre, Dolente, maybe in minor"
Daisy,2,,"[열B] colB,[열C] colC","[열B] colB,[열C] colC","[열B] colB,[열C] colC,[열A] colA,[열D] colD","Only the woman in the painting can move around, which then leads to movements of objects on the floor.","2 |  If there is movement, it would be very subtle.",2 |  The overall atmosphere is a bit gloomy.,2 |  Same reason with the question about the pitch.,I think this painting is gloomy and can make audience feel blue somehow.
Doky,0,,"[열B] colB,[열C] colC","[열B] colB,[열C] colC",,인물이 주는 역동적 느낌은 전혀 없음.,2 |  하얗고 잔잔한 분위기와 정적인 느낌까지 나므로 빠르지 않은 템포가 어울림.,4 |  뭔가 미묘한 분위기로 인하여 보통이나 조금 낮은 핏치의 음이 연상됨. ,2 |  낮은 밀도의 음악이 잔잔하고 정적인 그림의 느낌과 어울림.,정적인 느낌이나 심오한 분위기
chanpig,2,,"[열B] colB,[열C] colC","[열B] colB,[열C] colC","[열B] colB,[열C] colC",사람이 걸어서 드레스가 뒤로 조금 끌린자국,2 |  가만히 서있어서 ,3 |  색감이 좀 칙칙해서 ,3 |  바닥에 동물 모피? 가 있어서 긴장감이 있음 ,없다
곤듀,0,,[열B] colB,,,"인물, 배경, 표현 모두 역동적인 느낌이 들지 않음",2 |  상당히 정적으로 느껴지는 그림으로 느린 템포의 음악이 어울릴 것으로 생각됨,2 |  상당히 정적으로 느껴지는 그림으로 높은 피치의 음악은 어울리지 않을 것으로 생각됨,0 |  상당히 정적으로 느껴지는 그림으로 낮은 밀도의 음을 길게 늘어 트리는 형식의 음악이 어울릴 것으로 생각됨.,없음
이인애,1,"[열A] colA,[열D] colD,[열B] colB,[열C] colC","[열A] colA,[열D] colD,[열B] colB,[열C] colC","[열A] colA,[열D] colD,[열B] colB,[열C] colC",,배경선과 인물이 평행구조,3,2,6,어두움
고고,0,,"[열B] colB,[열C] colC","[열C] colC,[열B] colB","[열B] colB,[열C] colC",제자리에 서있음,0,0,0,없음
경,1,,"[열B] colB,[열C] colC",[열C] colC,[열B] colB,가만히 서 있는 정적인 분위기를 느낄 수 있음.,1 |  가만히 서 있는 정적인 분위기를 잘 나타냄.,2 |  정적인 분위기를 잘 나타냄.,1 |  가만히 서 있는 정적인 분위기를 잘 드러냄.,멍함.
yoni,5,,,,"[열A] colA,[열B] colB,[열C] colC,[열D] colD",인물의 옷과 벽고ㅏ 대비되는 바닥  ,3,3,7,없움
