지정 닉네임 (Assigned Nickname),"[역동성] 이 그림에서 느껴지는 ‘역동적인 느낌의 정도 (다이나믹한 정도) ' 는 어느정도인가요? [Sense of Dynamics] Could you clarify the perceived level of ""dynamic feeling"" in this picture?",[[역동성] 그림의 어느 부분 이 '역동적인 느낌의 정도'를 판단 하는데 영향을 주었나요?? [Sense of Dynamics] Which part of the picture influenced the perception of the 'degree of sense of dynamics'?] [,[[역동성] 그림의 어느 부분 이 '역동적인 느낌의 정도'를 판단 하는데 영향을 주었나요?? [Sense of Dynamics] Which part of the picture influenced the perception of the 'degree of sense of dynamics'?] [,[[역동성] 그림의 어느 부분 이 '역동적인 느낌의 정도'를 판단 하는데 영향을 주었나요?? [Sense of Dynamics] Which part of the picture influenced the perception of the 'degree of sense of dynamics'?] [,[[역동성] 그림의 어느 부분 이 '역동적인 느낌의 정도'를 판단 하는데 영향을 주었나요?? [Sense of Dynamics] Which part of the picture influenced the perception of the 'degree of sense of dynamics'?] [,[역동성] 해당 부분이 역동적 느낌의 정도에 영향을 느끼게한 이유 는 무엇인지 설명해주세요. [Sense of Dynamics] Please explain why the checked areas have an impact on the perceived level of dynamism in the picture.,[음악적 표현] 이 그림,[음악적 표현] 이 그림,[음악적 표현] 이 그림,"이 그림을 표현한 음악이 있다면, 그림의 역동적인 정도 외에 또 표현되었으면 하는 느낌 이 있나요? If there were music representing this picture, do you have any additional feelings you would like to be expressed other than the ""dynamics""?"
나비,2,,[열A] colA,"[열A] colA,[열B] colB","[열A] colA,[열B] colB","너무 정자세로 앉아있고, 몇분 이상 저 자세로 있어도 이상하지않아보여서 - 정적인느낌. 또한 풀이 흔들리지않는것같음.",2,3 |  약간의 새소리 날 것 같아서 높은 음 살짝?,2,빛의 밝음을 살짝 표현?
rub,3,"[열B] colB,[열A] colA,[열C] colC","[열B] colB,[열C] colC",,,mainly feel like winds passing the trees,6 |  the sounds of nature,7 |  it's in day time,3 |  the painting looks really peaceful so doesn't have to be fancy,"holy, warm, sweet"
Daisy,3,"[열A] colA,[열B] colB,[열C] colC,[열D] colD","[열B] colB,[열A] colA,[열C] colC","[열A] colA,[열B] colB","[열B] colB,[열C] colC,[열A] colA,[열D] colD","The woman is sitting, and the trees and grasses can gently move when the wind blows.",3 |  It looks like a quiet noon in a garden where the woman can sit and read.,"5 |  The daylight helps with increase the pitch, but the pitch should not be too high that might disturb the woman.",5 |  Same reason with the question about the pitch.,The scene looks very quiet. I wonder if any kind of music can describe this state.
Doky,2,,,"[열A] colA,[열B] colB",,딱히 역동적인 느낌이 나지 않음. 평화롭고 잔잔함.,3 |  밝은 곳에서의 휴식이므로 잔잔한 빠르기가 적당한 것으로 보여짐.,6 |  분위기가 낮이고 역동적임은 적지만 밝고 평화롭기 때문에 높은 핏치가 더 어울릴 것으로 생각됨. ,7 |  경쾌하면서도 평화로운 무드의 밀도가 촘촘한 곡이 어울릴 것 같음.,잔잔한 멜로디와 평화로우면서도 밝은 분위기.
chanpig,2,"[열B] colB,[열C] colC","[열C] colC,[열B] colB",,,나뭇잎이 흔들리는 느낌? ,2 |  책을 읽으면서 움직임이 없어보임 ,6 |  낮에 해가 들어오고 느긋하고 새가 울것같은 느낌 ? 칙칙한 느낌이 아님 ,6 |  새가 지저귈것만같은 느낌,없다
곤듀,6,"[열A] colA,[열B] colB,[열C] colC,[열D] colD","[열B] colB,[열C] colC,[열D] colD",,"[열B] colB,[열A] colA,[열C] colC","나뭇잎들의 사실적인 표현과, 사물들에 비춰지는 햇빛이 그림의 역동성을 느끼게해 줌",5 |  자연속에서 휴식을 취하는 듯한 장면이 연상됨에 따라 평이한 템포가 어울릴 것으로 생각됨,"5 |  자연, 휴식이 연상되는 그림으로 평이한 수준의 음의 높낮이가 어울릴 것이라 생각함.","5 |  자연, 휴식이 연상되는 그림으로 보통밀도의 음악이 어울릴 것으로 생각함.",사실적인 표현이 돋보이는 그림으로  생동감이 좀더 느껴지는 표현이 더해지면 좋을거 같음
이인애,2,[열C] colC,[열B] colB,"[열A] colA,[열B] colB",[열A] colA,앉은구조 의자 햇살,3,7,2,나른함
고고,1,,[열A] colA,"[열A] colA,[열B] colB",,앉아있는 모습,1,1,1,없음
경,1,,[열A] colA,"[열A] colA,[열B] colB",,가만히 앉아서 독서를 하는 모습을 통해 정적인 느낌을 얻을 수 있음.,1 |  느린 곡이 정적인 그림과 잘 어울림.,2 |  낮은 피치를 통해 여유롭고 정적인 모습을 느낄 수 있음.,2 |  낮은 밀도를 통해 대체로 정적인 분위기를 잘 느낄 수 있음.,"여유, 평화로움."
yoni,4,,"[열A] colA,[열B] colB","[열A] colA,[열B] colB","[열A] colA,[열B] colB,[열C] colC,[열D] colD",햇빛 인물의 행동 쉴수있는 의자,6,8,2,없음
밍경댕,3,,"[열A] colA,[열B] colB,[열D] colD","[열B] colB,[열A] colA",[열B] colB,여인은 가만히 있어 정적인 느낌을 주지만 풍경의 원근법이 조금의 동적인 느낌을 줌.,2 |  평화로운 느낌과 따뜻한 색감으로 느린 음악이 잘 어울림.,7 |  평화와 따뜻한 날씨에는 조금 높은 음이 잘 어울릴듯 ,2 |  가벼운 느낌의 음악이라 단일 악기로 표현할 수 있을듯,햇빛의 따스함
배뀽,3,,[열A] colA,"[열A] colA,[열B] colB","[열A] colA,[열B] colB",앉아서 책읽는 여자,4 | 일상의 여유로움,3 | 일상의 단조로움,4 | 귓가를 때리는 것보다 여유로움,여유로움 안정감 포근함
미지,6,"[열C] colC,[열A] colA","[열C] colC,[열D] colD,[열B] colB,[열A] colA",,"[열B] colB,[열C] colC",해가 드는 숲이 잘 표현되어 어느정도의 생기와 역동성이 느껴짐,7 | 수풀 위로 해가 일렁이는 모습이 가볍고 생기있게 느껴져서,7 | 위와 같음,7 | 위와 같음,없음
boldmas,6,,"[열A] colA,[열B] colB","[열A] colA,[열B] colB","[열A] colA,[열B] colB",the subject of the painting is in that section of the artwork,3 | the scene looks very relaxing and the woman is having a siesta.,7 | The sunlight shining through the branches and the leaves brings the image to life and gives it a special dimension.,"7 | Even though the subject is static, the sunlightth, the different color leaves and the multitude of trees makes it a complex image.",the contrast between the resting lady and the dynamic nature
