지정 닉네임 (Assigned Nickname),"[역동성] 이 그림에서 느껴지는 ‘역동적인 느낌의 정도 (다이나믹한 정도) ' 는 어느정도인가요? [Sense of Dynamics] Could you clarify the perceived level of ""dynamic feeling"" in this picture?",[[역동성] 그림의 어느 부분 이 '역동적인 느낌의 정도'를 판단 하는데 영향을 주었나요?? [Sense of Dynamics] Which part of the picture influenced the perception of the 'degree of sense of dynamics'?] [,[[역동성] 그림의 어느 부분 이 '역동적인 느낌의 정도'를 판단 하는데 영향을 주었나요?? [Sense of Dynamics] Which part of the picture influenced the perception of the 'degree of sense of dynamics'?] [,[[역동성] 그림의 어느 부분 이 '역동적인 느낌의 정도'를 판단 하는데 영향을 주었나요?? [Sense of Dynamics] Which part of the picture influenced the perception of the 'degree of sense of dynamics'?] [,[[역동성] 그림의 어느 부분 이 '역동적인 느낌의 정도'를 판단 하는데 영향을 주었나요?? [Sense of Dynamics] Which part of the picture influenced the perception of the 'degree of sense of dynamics'?] [,[역동성] 해당 부분이 역동적 느낌의 정도에 영향을 느끼게한 이유 는 무엇인지 설명해주세요. [Sense of Dynamics] Please explain why the checked areas have an impact on the perceived level of dynamism in the picture.,[음악적 표현] 이 그림,[음악적 표현] 이 그림,[음악적 표현] 이 그림,"이 그림을 표현한 음악이 있다면, 그림의 역동적인 정도 외에 또 표현되었으면 하는 느낌 이 있나요? If there were music representing this picture, do you have any additional feelings you would like to be expressed other than the ""dynamics""?"
나비,8,,"[열A] colA,[열B] colB,[열D] colD","[열B] colB,[열A] colA,[열D] colD",,뛰어다닌는듯한 동작 -- 액션을 일부러 취하는 행동 ~ 움직임이 많음 + 파도의 모양,9,6,9,없음
rub,9,,"[열A] colA,[열B] colB,[열C] colC,[열D] colD","[열A] colA,[열B] colB,[열C] colC,[열D] colD","[열A] colA,[열B] colB,[열C] colC",The waves and the running legs are really dynamic,5 |  I think for me in general sunset ( or sunrise) + waves make me feel relaxing,4 |  Should be a pith that makes people feel comfortable,"6 |  even it should be relaxing for be based on the reasons above, but the kids also make me feel like it should be not ""quiet""",Cantabile
Daisy,9,"[열A] colA,[열B] colB,[열D] colD,[열C] colC","[열A] colA,[열B] colB,[열C] colC,[열D] colD","[열A] colA,[열B] colB,[열C] colC,[열D] colD",,There are three people running at the center of the picture. The waves and clouds should be moving.,"5 |  The beach looks peaceful to me. Also, for the people who can enjoy playing and swimming at the beach at sunset, the overall atmosphere is supposed to be calming.","7 |  People are having fun, and the color scheme of the overall painting is warm.",5 |  The scene looks peaceful and calming.,For this one I think the dynamics are enough since the activity is depicted very clearly.
Doky,5,,"[열B] colB,[열C] colC","[열A] colA,[열B] colB,[열D] colD",,어린 아이들의 천진난만함(뛰어다니는 움직임)과 바닷가의 파도가 역동적인 움직임을 연상케 함. ,5 |  너무 빠르지도 않고 느리지도 않은 템포가 어울릴 것 같음. 풍경적으로도 그렇고 평화롭고 순진한 아이들이 장난치며 뛰어다니는 보통의 템포가 연상됨.,3 |  그림의 색채가 해가 지고 있을 때로 보여 비교적 어두움. 따라서 음악의 높낮이도 너무 밝은 것보다 잔잔하게 낮은 높낮이가 어울릴 것 같음.,1 |  아이들이 지는 석양 아래에서 뛰어가는 평화로운 느낌이기 때문에 음악의 밀도는 자연스럽게 낮은 것이 어울릴 것 같음.,잔잔하고 평화로운 느낌의 분위기가 강조되었으면 좋겠음. 
chanpig,8,,"[열A] colA,[열B] colB,[열C] colC,[열D] colD","[열A] colA,[열B] colB,[열C] colC,[열D] colD",,달리면서 옷이 날리고 파도가 치는것,7 |  달리면 좀 빨라야할것만같은 느낌 ,7 |  신나보임,6 |  아이들이라 그렇게 무겁지않은 느낌,즐거움
곤듀,7,,"[열A] colA,[열B] colB,[열C] colC,[열D] colD","[열A] colA,[열B] colB,[열C] colC,[열D] colD",,"사람들의 시선, 몸의 방향과 파도에서 역동성이 느껴지나 노을과 같은 색감으로 하늘을 표현한 부분에서 다소 차분함이 뭍어남","8 |  그림은 석양이 드리운 해변에서 아이들이 즐겁게 뛰어노는 장면이 연상 됨.  샘플상의 보통, 매우빠름은 확실히 아니며, 보통 - 매우빠름 사이에서 빠름쪽에 조금더 치우친 템포가 어울리다고 생각함 ",8 |  그림에서 아이들이 뛰어노는 장면이 눈에 가장 먼저 들어오기 때문에 다소 높은 피치가 어울리다고 생각됨,"7 |  여전히 메인은 아이들임. 샘플의 매우 높은 밀도는 확실히 아니며, 보통 - 매우 높은 밀도 사이에서 보통에 조금더 치우친 음의 밀도가 어울린다고 생각함",위의 세팅에서 배경음으로 파도소리가 추가된다면 좀더 입체적인 사운드가 될 것이라 생각함
이인애,9,,"[열C] colC,[열B] colB,[열D] colD,[열A] colA","[열A] colA,[열B] colB,[열D] colD,[열C] colC",,짙은색감 흔들림의표현,8,7,5,여유
고고,7,,"[열A] colA,[열B] colB,[열C] colC","[열A] colA,[열B] colB,[열C] colC",,달리는모습,7,7,7,없음
경,10,,"[열C] colC,[열A] colA,[열D] colD,[열B] colB","[열A] colA,[열B] colB,[열C] colC,[열D] colD",,달리는 아이들의 움직임과 파도의 움직임이 잘 느껴짐.,10 |  달리는 아이들의 가벼운 움직임과 밝은 분위기를 잘 드러냄.,"6 |  샘플에서 보통의 음높이가 충분히 높다고 느껴짐, 밝은 분위기와 아이들의 가벼운 움직임이 잘 드러남.",6 |  아이들의 순수함과 맑은 분위기를 잘 드러냄. 복잡하지 않은 움직임을 잘 드러냄.,밝은 분위기.
yoni,8,,,"[열A] colA,[열B] colB,[열C] colC,[열D] colD","[열A] colA,[열B] colB,[열C] colC,[열D] colD","색감, 인물의 자세",5 |  인물들의 자세 및 움직임은 활동적이지만 배경의 느낌이(색감) 차분하기에 중간,7 |  인물의 전체적인 모습이 웃고있는것으로 느껴짐,7 |  뛰고있다는 느낌이라서,"풍경,배경"
밍경댕,10,,"[열A] colA,[열B] colB,[열C] colC,[열D] colD","[열D] colD,[열C] colC,[열B] colB,[열A] colA",,아이들의 뛰는 모습과 웃는 얼굴 또 앞에 달리는 아이의 시선이 역동적으로 느껴지게 만듬.,2 |  급박한 움직임이 아니라 평화로운 움직임으로 보여 차분한 음악이 더 잘 어울릴 것으로 예상됨.,7 |  아이들의 천진난만함을 표현하기 위해 좀 높은 음의 음악이 그려짐,2 |  아이라는 속성이 밀도가 낮음과 가깝다고 생각해 낮음 음의 음악이 잘 어울림.,석양이 지는 저녁과 같은 시간선도 표현되었으면 좋겠습니다.
배뀽,7,,"[열A] colA,[열B] colB,[열C] colC,[열D] colD","[열A] colA,[열B] colB,[열D] colD",[열B] colB,사람이 뛰고 있음 ,5 |  일상적인 느낌,8 |  어린 애들이 있어서 활발한 느낌,5 |  일상의 여유로움,편안함 안정감
미지,8,,"[열A] colA,[열B] colB,[열C] colC,[열D] colD","[열A] colA,[열B] colB,[열C] colC,[열D] colD",,거친 파도와 달리는 아이들의 모습이 역동적인 느낌을 줌,7 | 파도가 밀려오는 속도만큼의 빠르기가 어울린다고 생각함 파도가 여러겹으로 연속적으로 치고있는 것으로 보이므로 약간 빠른 템포,5 | 무거운 파도소리와 가벼운 아이들의 소리가 합쳐진 보통의 높이,"9 | 연속적인 파도소리와 아이들의 뛰는소리, 웃음소리 등이 밀도높은 음악으로 표현될 수 있음",없음
boldmas,9,,"[열A] colA,[열B] colB,[열C] colC,[열D] colD","[열A] colA,[열B] colB,[열C] colC,[열D] colD",,The children running as well as the sea waves.,"4 | To represent a lively, yet, peaceful feeling.","5 | There seems to be a balance between the running children and the waves plus the darker shades of the sunset. There seems to be a bittersweet, nostalgic feeling.","1 | This is a very happy, yet relaxing moment that is about to end by nightfall. The day is about to end and the sparse music represent relaxation and sleep after a day of playfulness.","The contrast between the darker sea and the lively children along with the brighter and more warm-toned sky, gives the painting a good dynamic balance."
