지정 닉네임 (Assigned Nickname),"[역동성] 이 그림에서 느껴지는 ‘역동적인 느낌의 정도 (다이나믹한 정도) ' 는 어느정도인가요? [Sense of Dynamics] Could you clarify the perceived level of ""dynamic feeling"" in this picture?",[[역동성] 그림의 어느 부분 이 '역동적인 느낌의 정도'를 판단 하는데 영향을 주었나요?? [Sense of Dynamics] Which part of the picture influenced the perception of the 'degree of sense of dynamics'?] [,[[역동성] 그림의 어느 부분 이 '역동적인 느낌의 정도'를 판단 하는데 영향을 주었나요?? [Sense of Dynamics] Which part of the picture influenced the perception of the 'degree of sense of dynamics'?] [,[[역동성] 그림의 어느 부분 이 '역동적인 느낌의 정도'를 판단 하는데 영향을 주었나요?? [Sense of Dynamics] Which part of the picture influenced the perception of the 'degree of sense of dynamics'?] [,[[역동성] 그림의 어느 부분 이 '역동적인 느낌의 정도'를 판단 하는데 영향을 주었나요?? [Sense of Dynamics] Which part of the picture influenced the perception of the 'degree of sense of dynamics'?] [,[역동성] 해당 부분이 역동적 느낌의 정도에 영향을 느끼게한 이유 는 무엇인지 설명해주세요. [Sense of Dynamics] Please explain why the checked areas have an impact on the perceived level of dynamism in the picture.,[음악적 표현] 이 그림,[음악적 표현] 이 그림,[음악적 표현] 이 그림,"이 그림을 표현한 음악이 있다면, 그림의 역동적인 정도 외에 또 표현되었으면 하는 느낌 이 있나요? If there were music representing this picture, do you have any additional feelings you would like to be expressed other than the ""dynamics""?"
나비,0,"[열B] colB,[열C] colC","[열C] colC,[열B] colB","[열B] colB,[열A] colA,[열C] colC",,"사람의 움직임 너무 느껴지지 않고, 이대로 2시간 넘게 있어도 이상하지않을 느낌. 하늘의 움직임 요소 하나 없음 (구름 X)",1,6,1,악기는 하나정도만
rub,2,"[열A] colA,[열B] colB,[열C] colC,[열D] colD",[열A] colA,,,I don't think the guy is moving but the sky (clouds),1 |  it should be really silent and almost not moving,7 |  the whole image is really bright so i don't think it should go with low pitch but also not too high to make it silent enough,2 |  silenttt,"Dolce, natural??"
Daisy,4,,[열B] colB,"[열A] colA,[열B] colB,[열C] colC",,"I tend to associate humans with movements. Also, there are clouds from afar are moving.",2 |  The overall vibe is very idle.,"5 |  Not to low nor too high, just the average.",2 |  There are not many activities going on there.,"I feel like I can relate to the man in this picture: laying down, doing nothing on a good-weather day."
Doky,1,,,[열C] colC,,"역동적인 느낌이 딱히 없고, 환경적인 부분에 있어서도 휴식이 연상케되어 역동적 느낌이 없음 ",0 |  인물의 움직임이 아예 누워서 휴식을 취하고 있기 때문에 매우 느린 템포의 곡이 어울릴 것 같음,"6 |  역동성은 적지만 해당 그림의 색채가 밝아서 비교적 너무 낮지는 않은, 높은 핏치가 이상적일 것으로 생각됨. ",3 |  그림의 역동적 정도를 나타내는 주변 environment와 인물의 움직임이 없기 때문에 음악의 밀도는 적은 것이 어울릴 것 같음. ,역동적인 정도보다 밝으면서 잔잔한 느낌이 강조되었으면 좋겠음.
chanpig,1,,,[열C] colC,,움직여서 팔을 머리에 얹음,0 |  사람이 자고있고 풀들도 움직임이 없다,1 |  자고있을땐 높은음보단 낮은음일듯한 느낌 ,1 |  미동없이 누어계셔서,없다
곤듀,0,[열A] colA,,,,"배경, 인물 어디에서도 역동적 느낌이 들지 않음",1 |  그림에서 어떠한 역동성도 느껴지지 않기에 템포는 느림이 알맞다고 생각함,2 |  그림에서 하늘의 색감이 너무 우울하게 느껴지지는 않으므로 샘플 상의 매우 낮은 음을 확실히 아님 매우 낮음 음 - 보통 사이에서 낮음에 조금 더 치우친 피치,0 |  샘플상의 매우 낮은 밀도가 그림에서 느껴지는 정적? 여유로움?과 어울린다고 생각함,음에 공간감이 더해지면 좋을거 같음
이인애,0,,,"[열C] colC,[열B] colB",,수평구조,1,3,2,잔잔함
고고,1,,,[열C] colC,,누워있는모습,1,1,1,없음
경,0,,,"[열C] colC,[열B] colB,[열A] colA",,잠을 자는 모습으로 움직임이 전혀 없는 모습을 나타냄.,1 |  잠을 자는 정적인 느낌을 잘 드러냄.,0 |  잠을 자는 정적인 느낌을 잘 드러냄.,0 |  낮은 밀도의 단순함이 정적인 분위기를 잘 나타냄.,"나른함, 평화로움."
yoni,4,,,"[열A] colA,[열B] colB,[열C] colC",,인물이 이마를 가린자세에서 어떤기분일지 등 상상하게됨,3,7,5,없음
