지정 닉네임 (Assigned Nickname),"[역동성] 이 그림에서 느껴지는 ‘역동적인 느낌의 정도 (다이나믹한 정도) ' 는 어느정도인가요? [Sense of Dynamics] Could you clarify the perceived level of ""dynamic feeling"" in this picture?",[[역동성] 그림의 어느 부분 이 '역동적인 느낌의 정도'를 판단 하는데 영향을 주었나요?? [Sense of Dynamics] Which part of the picture influenced the perception of the 'degree of sense of dynamics'?] [,[[역동성] 그림의 어느 부분 이 '역동적인 느낌의 정도'를 판단 하는데 영향을 주었나요?? [Sense of Dynamics] Which part of the picture influenced the perception of the 'degree of sense of dynamics'?] [,[[역동성] 그림의 어느 부분 이 '역동적인 느낌의 정도'를 판단 하는데 영향을 주었나요?? [Sense of Dynamics] Which part of the picture influenced the perception of the 'degree of sense of dynamics'?] [,[[역동성] 그림의 어느 부분 이 '역동적인 느낌의 정도'를 판단 하는데 영향을 주었나요?? [Sense of Dynamics] Which part of the picture influenced the perception of the 'degree of sense of dynamics'?] [,[역동성] 해당 부분이 역동적 느낌의 정도에 영향을 느끼게한 이유 는 무엇인지 설명해주세요. [Sense of Dynamics] Please explain why the checked areas have an impact on the perceived level of dynamism in the picture.,[음악적 표현] 이 그림,[음악적 표현] 이 그림,[음악적 표현] 이 그림,"이 그림을 표현한 음악이 있다면, 그림의 역동적인 정도 외에 또 표현되었으면 하는 느낌 이 있나요? If there were music representing this picture, do you have any additional feelings you would like to be expressed other than the ""dynamics""?"
나비,2,,[열B] colB,[열B] colB,[열B] colB,"그냥 정적으로 서있고, 표정이 무표정이었던 부분. 그런데 핑크색+밝은느낌이라 살작 역동적이게 보이도 함.",2,7 |  핑크색적인 부분,1,얼굴 표정에서 느껴지는 감정?
rub,0,"[열C] colC,[열B] colB",,,,I don't really think anything is moving in this painting to be honest,1 |  almost static,5 |  it looks really moderate,5 |  it looks really moderate,N/A
Daisy,5,"[열D] colD,[열C] colC",[열B] colB,"[열B] colB,[열A] colA",[열B] colB,"There is a woman in the center of the painting. For A3, C1, and D1, I think the color gradient there implies some movements.","5 |  The red color adds to the high tempo. Other than that, the scene is still.",8 |  The woman matches with some high-pitched music.,"5 |  There is only a woman in the scene, so I rate the average level of density.",I think the color scheme can arouse the feelings too.
Doky,0,[열B] colB,"[열B] colB,[열A] colA",[열B] colB,,역동적으로 느껴지지 않음.,3 |  역동적인 움직임은 없으나 밝고 경쾌한 색채로 인해 너무 느리지는 않은 템포가 어울림.,7 |  색채가 밝기 때문에 높은 음악이 더 어울림.,8 |  밝은 색채와 다양하고 화려한 패턴으로 인하여 음악의 밀도 역시 조금 더 높았으면 좋겠음. ,강렬한 색채와 패턴
chanpig,6,,[열B] colB,"[열A] colA,[열B] colB,[열C] colC,[열D] colD","[열A] colA,[열B] colB,[열D] colD,[열C] colC",사람은 그냐우서 있지만 배경과 사물들이 휘어져있어 조금 역동적,7 |  배경이 주는 느낌도 있고 색감이 정신없다 ,5 |  정신없는 느낌,5 |  그림들이 곡선이 많아서 느리면서 빠를꺼같은 느낌,없음 
곤듀,0,,[열B] colB,,,전혀 역동적인 느낌이 들지 않음. 그림 속의 모습은 마치 사진을 찍기위한 세트장과 같은 정적인 느낌을 받음.,"8 |  역동적인 느낌이 전혀 들지 않는 그림이지만, 전체적인 색감이 밝고 가벼운 느낌을 줌에 따라 느린 템포보다는 다소 빠른 템포가 어울릴 것으로 생각함.","8 |  역동적인 느낌이 전혀 들지 않는 그림이지만, 전체적인 색감이 밝고 가벼운 느낌을 줌에 따라 낮은 피치보다는 다소 높은 피치의 음이 어울릴 것으로 생각함.",5 |  음의 밀도가 매우 낮거나 매우 높아 지는 등 호소력 있는 스타일은 어울리지 않음,역동적 또는 정적인 느낌의 표현보다는 밝고 가벼운 느낌의 것들이 표현되었으면 좋겠음
이인애,6,[열C] colC,"[열A] colA,[열B] colB,[열C] colC",[열A] colA,,흐트러진형체의표현(곡선),4,3,6,무거움
고고,1,,[열B] colB,[열B] colB,[열B] colB,제자리에 서있음,1,1,1,없음
경,1,,[열B] colB,[열B] colB,[열B] colB,가만히 서 있는 모습에서 정적인 느낌을 받을 수 있음.,1 |  가만히 서 있는 정적인 분위기를 잘 나타냄.,2 |  멍한 느낌과 정적인 분위기를 잘 드러냄.,2 |  정적인 분위기를 잘 드러냄.,멍한 느낌.
yoni,5,"[열A] colA,[열D] colD","[열A] colA,[열D] colD",,,그림 전체의 다양하고 팝한 색감,3,7,3,색감의 표현
