지정 닉네임 (Assigned Nickname),"[역동성] 이 그림에서 느껴지는 ‘역동적인 느낌의 정도 (다이나믹한 정도) ' 는 어느정도인가요? [Sense of Dynamics] Could you clarify the perceived level of ""dynamic feeling"" in this picture?",[[역동성] 그림의 어느 부분 이 '역동적인 느낌의 정도'를 판단 하는데 영향을 주었나요?? [Sense of Dynamics] Which part of the picture influenced the perception of the 'degree of sense of dynamics'?] [,[[역동성] 그림의 어느 부분 이 '역동적인 느낌의 정도'를 판단 하는데 영향을 주었나요?? [Sense of Dynamics] Which part of the picture influenced the perception of the 'degree of sense of dynamics'?] [,[[역동성] 그림의 어느 부분 이 '역동적인 느낌의 정도'를 판단 하는데 영향을 주었나요?? [Sense of Dynamics] Which part of the picture influenced the perception of the 'degree of sense of dynamics'?] [,[[역동성] 그림의 어느 부분 이 '역동적인 느낌의 정도'를 판단 하는데 영향을 주었나요?? [Sense of Dynamics] Which part of the picture influenced the perception of the 'degree of sense of dynamics'?] [,[역동성] 해당 부분이 역동적 느낌의 정도에 영향을 느끼게한 이유 는 무엇인지 설명해주세요. [Sense of Dynamics] Please explain why the checked areas have an impact on the perceived level of dynamism in the picture.,[음악적 표현] 이 그림,[음악적 표현] 이 그림,[음악적 표현] 이 그림,"이 그림을 표현한 음악이 있다면, 그림의 역동적인 정도 외에 또 표현되었으면 하는 느낌 이 있나요? If there were music representing this picture, do you have any additional feelings you would like to be expressed other than the ""dynamics""?"
나비,6,,"[열B] colB,[열C] colC","[열C] colC,[열B] colB",,팔다리의 움직임이 쉬운움직임이 아님,8,9,7,밝은 느낌
rub,7,,"[열B] colB,[열C] colC",,,The ribbon is really dynamic,8 |  I think the characteristic style of this painting is really obviously Indian or mid-asian,8 |  the same reason above,9 |  it should be danceable with really fancy moves,"danceable, brillante"
Daisy,6,,"[열B] colB,[열C] colC","[열B] colB,[열C] colC","[열C] colC,[열B] colB",Only the human is moving.,8 |  She is dancing.,"8 |  I guess the music is from some Indian, Middle Eastern culture, and as far as I know the pitch of their music is pretty high.",8 |  The music from Indian and Middle Eastern culture is dense too.,She looks happy and positive.
Doky,5,,"[열B] colB,[열C] colC","[열B] colB,[열C] colC",,"색채의 활기참, 배경의 밝기, 인물의 동작이 역동적 느낌을 double-up 시킴.",6 |  역동성을 나타내는 움직임의 정도가 크지는 않지만 인물의 의상 색이 발랄하고 활기차기 때문에 보통보다는 조금 더 빠른 템포가 어울릴 것 같음.,"7 |  음악의 높낮이는 높은 것이 어울릴 것 같음. 템포가 빠르지는 않아도, 핏치가 높으면 뭔가 자연스러우면서도 활기차보이는 이미지가 극대화될 것 같음. ",7 |  그림속 색채와 명도가 밝고 그림속 다양한 패턴들의 조화로 인하여 음악의 밀도가 높은 것이 어울릴 것 같음. ,춤이나 해당 그림의 문화적 느낌과 어울리는 무드와 멜로디. 
chanpig,4,,"[열C] colC,[열B] colB",,,머리위에 손을 올려서 춤을 추는듯함,3 |  천천히 움직이면서 춤을 추는듯함,3 |  색감도 좀 어둡고 느긋하게 춤출듯함,7 |  색감이 어둡고 명암이 어둡게 들어가서 밀도가 높아보임 ,없다
곤듀,5,,"[열B] colB,[열C] colC","[열B] colB,[열C] colC","[열C] colC,[열B] colB","인물의 포즈에서 역동성이 느껴짐, 그림의 질감 때문에 아주 역동적이게 느껴지진 않음",8 |  인물의 포즈에서 다소 분주함이 느껴짐. 샘플상의 매우 빠름은 확실히 아님. 보통 - 매우 빠름 사이에서 빠름에 살짝 더 치우친 템포,3 |  샘플상의 보통은 본 그림에 어울리지 않음  매우 낮은 스타일 - 보통 사이에서 보통에 조금더 치우치는 피치,8 |  전체적으로 큰 역동성은 느껴지지않으나 인물의 행동에서 어느정도의 분주함은 느껴짐. 샘플상의 매우 높은 밀도는 확실히 아님 보통 - 매우 높은 밀도 사이에서 높은 밀도에 조금더 치우친 밀도,아무래도 춤추고 있음을 연상캐하는 그림이다 보니 타악기 비트가 필요해 보임
이인애,4,,"[열B] colB,[열C] colC",,,선의표현,3,7,3,없음
고고,5,,"[열B] colB,[열C] colC","[열B] colB,[열C] colC",,춤추는모습,5,5,5,없음
경,7,,"[열B] colB,[열C] colC",,[열C] colC,"표정, 팔다리의 움직임.",6 |  아주 빠르지는 않은 움직임을 잘 드러냄.,4 |  적당한 움직임을 잘 드러냄.,6 |  아주 빠르지는 않은 적당히 화려한 움직임을 잘 드러냄.,"이국적인, 신비로운 느낌."
yoni,8,,"[열B] colB,[열C] colC","[열B] colB,[열C] colC","[열B] colB,[열C] colC",인물의 얼굴,7,7,6,없음
