지정 닉네임 (Assigned Nickname),"[역동성] 이 그림에서 느껴지는 ‘역동적인 느낌의 정도 (다이나믹한 정도) ' 는 어느정도인가요? [Sense of Dynamics] Could you clarify the perceived level of ""dynamic feeling"" in this picture?",[[역동성] 그림의 어느 부분 이 '역동적인 느낌의 정도'를 판단 하는데 영향을 주었나요?? [Sense of Dynamics] Which part of the picture influenced the perception of the 'degree of sense of dynamics'?] [,[[역동성] 그림의 어느 부분 이 '역동적인 느낌의 정도'를 판단 하는데 영향을 주었나요?? [Sense of Dynamics] Which part of the picture influenced the perception of the 'degree of sense of dynamics'?] [,[[역동성] 그림의 어느 부분 이 '역동적인 느낌의 정도'를 판단 하는데 영향을 주었나요?? [Sense of Dynamics] Which part of the picture influenced the perception of the 'degree of sense of dynamics'?] [,[[역동성] 그림의 어느 부분 이 '역동적인 느낌의 정도'를 판단 하는데 영향을 주었나요?? [Sense of Dynamics] Which part of the picture influenced the perception of the 'degree of sense of dynamics'?] [,[역동성] 해당 부분이 역동적 느낌의 정도에 영향을 느끼게한 이유 는 무엇인지 설명해주세요. [Sense of Dynamics] Please explain why the checked areas have an impact on the perceived level of dynamism in the picture.,[음악적 표현] 이 그림,[음악적 표현] 이 그림,[음악적 표현] 이 그림,"이 그림을 표현한 음악이 있다면, 그림의 역동적인 정도 외에 또 표현되었으면 하는 느낌 이 있나요? If there were music representing this picture, do you have any additional feelings you would like to be expressed other than the ""dynamics""?"
나비,1,[열D] colD,,"[열D] colD,[열C] colC","[열C] colC,[열B] colB","가만히 있는 사람과 (너무 정적인 포즈), 그리고 바람한결 불지않는것같은 배경 (나무가 곧음)",1,1,2,사람 얼굴 표정? 
rub,3,,,"[열A] colA,[열B] colB",[열A] colA,wind passing the grassland,2 |  it should be a perfect music for taking a afternoon nap,6 |  even its for napping but it's still day time,2 |  sleeping.....,careful
Daisy,2,,,"[열B] colB,[열C] colC,[열D] colD","[열B] colB,[열C] colC,[열D] colD","There is a human, and human is supposed to move even though the woman in this painting is just lying down.",2 |  The woman is only lying.,"6 |  It looks like a peaceful countryside, so I associate it with the country music, which, I think, has this pitch level.",6 |  Same reason with the one I gave for the pitch level. It feels like the sound of birds but not that high-pitched and dense.,"When I see subjects in a painting lying or sitting, I always feel a sense of laziness but in a good way. I feel relaxed."
Doky,0,,,"[열C] colC,[열D] colD",,딱히 역동적 느낌이 들지 않음.,"0 |  역동적 움직임이 없으므로, 매우 느린 템포가 어울릴 것 같음. ",1 |  역동적 움직임이 부족하기 때문에 낮은 pitch가 어울림. 해당 그림에 높은 pitch는 그림에 대한 이입이 어려울 것 같음. ,2 |  음악의 밀도 역시 높지 않은 것이 어울릴 것으로 보여짐. 그림의 다이나믹함이 거의 없기 때문에. ,전반적으로 잔잔하고 클래시컬한 색채. (자연적인) 
chanpig,1,,,"[열C] colC,[열D] colD","[열D] colD,[열C] colC",밭정리를 하다가 누워서 ,2 |  주무시고계셔서 ,3 |  하늘을 보니 저녁보단 낮시간 처럼 밝라서 잠시 잠든느낌,5 |  잠시 잠든것같은 느낌 ,없음 
곤듀,5,,,"[열B] colB,[열A] colA,[열C] colC,[열D] colD","[열A] colA,[열B] colB,[열C] colC,[열D] colD","색감이 전체적으로 건조하며, 화풍의 영향으로 인해 식물들이 흔들리는 느낌을 받음",2 |  식물들이 흩날리는 역동성이 느껴지나 그림 전체에서 느껴지는 쓸쓸함에 의해 다소 느림 템포가 어울릴 것으로 보임,2 |  그림에서 전체적으로 우울하고 쓸쓸한 느낌이 들기 때문에 낮은 음이 어울린다고 생각함,1 |  그림에서 전체적으로 우울하고 쓸쓸한 느낌이 들기 때문에 낮은 밀도의 음이 어울린다고 생각함,"바람에 흔들리는 식물들의 소리가 더해진다면, 어느정도의 역동성과 분위기가 어우러 질거 같음"
이인애,2,,,"[열A] colA,[열B] colB,[열C] colC,[열D] colD",,가로구조,2,3,5,한산함
고고,1,,,"[열C] colC,[열D] colD","[열C] colC,[열B] colB",누워있는 모습,1,1,1,없음
경,0,,,"[열C] colC,[열D] colD","[열B] colB,[열C] colC",누워서 자는 모습에서 정적인 느낌이 남.,0 |  잠을 자는 정적인 느낌을 잘 드러냄.,0 |  잠을 자는 정적인 느낌을 잘 드러냄.,0 |  정적인 느낌을 잘 드러냄.,딱히 없음.
yoni,2,[열D] colD,,[열D] colD,,인물의 표정 나무의 흔들림,3,5,5,없음
