지정 닉네임 (Assigned Nickname),"[역동성] 이 그림에서 느껴지는 ‘역동적인 느낌의 정도 (다이나믹한 정도) ' 는 어느정도인가요? [Sense of Dynamics] Could you clarify the perceived level of ""dynamic feeling"" in this picture?",[[역동성] 그림의 어느 부분 이 '역동적인 느낌의 정도'를 판단 하는데 영향을 주었나요?? [Sense of Dynamics] Which part of the picture influenced the perception of the 'degree of sense of dynamics'?] [,[[역동성] 그림의 어느 부분 이 '역동적인 느낌의 정도'를 판단 하는데 영향을 주었나요?? [Sense of Dynamics] Which part of the picture influenced the perception of the 'degree of sense of dynamics'?] [,[[역동성] 그림의 어느 부분 이 '역동적인 느낌의 정도'를 판단 하는데 영향을 주었나요?? [Sense of Dynamics] Which part of the picture influenced the perception of the 'degree of sense of dynamics'?] [,[[역동성] 그림의 어느 부분 이 '역동적인 느낌의 정도'를 판단 하는데 영향을 주었나요?? [Sense of Dynamics] Which part of the picture influenced the perception of the 'degree of sense of dynamics'?] [,[역동성] 해당 부분이 역동적 느낌의 정도에 영향을 느끼게한 이유 는 무엇인지 설명해주세요. [Sense of Dynamics] Please explain why the checked areas have an impact on the perceived level of dynamism in the picture.,[음악적 표현] 이 그림,[음악적 표현] 이 그림,[음악적 표현] 이 그림,"이 그림을 표현한 음악이 있다면, 그림의 역동적인 정도 외에 또 표현되었으면 하는 느낌 이 있나요? If there were music representing this picture, do you have any additional feelings you would like to be expressed other than the ""dynamics""?"
나비,8,,"[열C] colC,[열D] colD",[열C] colC,[열C] colC,팔다리의 큰 움직임,8,7,7,없음
rub,8,,"[열C] colC,[열B] colB,[열D] colD",[열C] colC,,she's obviously doing ballet,6 | elegant but smoothly moving and cute,6 | for me it should be a happy song for ballet,7 | for me it should be a happy song for ballet,Con amore (https://youtu.be/wfiPdw81xhQ?si=G8b3tJmNmfGoeG20&t=78)
Daisy,7,,"[열C] colC,[열D] colD,[열A] colA","[열C] colC,[열D] colD",[열C] colC,"The woman is dancing, and there is also a group of women behind.","7 | The woman is dancing ballet, so I suppose this is the tempo of a typical ballet dance.",7 | Same reason with the question about the tempo.,8 | I think there is some tension between the woman in the front and the group of women behind. That is why I think the density level is high.,"I think there should be some kind of story behind this painting, and it would be nice if the music can convey this story too."
Doky,6,,"[열C] colC,[열D] colD",[열C] colC,[열C] colC,발레를 연상하는 인물의 춤사위. (팔과 높게 뻗은 다리의 움직임),6 | 발레곡처럼 너무 빠르지도 않으면서 클래식 음악 치고는 비교적 더 빠른 템포가 연상됨.,8 | 색채가 밝고 활기차므로 (행복한 분위기) 음은 쾌활하고 높은 경쾌한 음이 잘 어울릴 것 같음,7 | 춤을 연상하므로 밀도는 비교적 높아야 할 것으로 예상됨.,경쾌하고 밝은 색채적인 느낌과 우아한 분위기.
chanpig,5,,[열D] colD,[열C] colC,,팔의 기울임,5 |  혼자서만 움직여서,5 |  혼자서만 크게 자세를 잡고있어서 ,3 |  천천히 발래를 할것같음 ,배경이 원래 저건가요? 뭔가 이상한데  다른 표현할건 없습니다 
곤듀,7,,"[열A] colA,[열B] colB,[열D] colD,[열C] colC","[열C] colC,[열D] colD",[열C] colC,"인물들의 동작, 복장에 의해 발레공연을 연상캐함",3 | 그림은 발레공연 중 한장면이라고 바로 인식은 가능하다 발레음악에 대한 경험이 전무하다 유일하게 기억하는 백조의 호수 중 유명한 부분을 생각해서 선택함.,"2 | 발레공연 장면을 연상케하는 본그림에서 느껴지는 것은 우아함, 웅장함임. 따라서 낮음 피치가 어울리다고 생각함",2 | 본 그림에서는 우아함과 웅장함이 떠오르기 때문에 낮은 밀도의 음이 어울린다고 생각함,없음
이인애,5,,"[열A] colA,[열C] colC,[열B] colB,[열D] colD",,,거친선의표현,6,7,5,없음
고고,7,,[열D] colD,"[열C] colC,[열D] colD",[열C] colC,춤추는모습,7,7,7,없음
경,7,,[열D] colD,[열C] colC,[열C] colC,우아하게 발레를 하는 모습에서 움직임을 느낄 수 있음.,4 |  적당히 가볍고 우아한 움직임을 잘 나타냄.,4 |  적당히 가볍고 우아한 움직임을 잘 드러냄.,"9 |  우아한 움직임, 화려함을 잘 드러냄.",우아한 느낌.
yoni,7,,"[열A] colA,[열B] colB,[열C] colC,[열D] colD","[열C] colC,[열D] colD","[열C] colC,[열D] colD",인물,5,5,5,없음
