지정 닉네임 (Assigned Nickname),"[역동성] 이 그림에서 느껴지는 ‘역동적인 느낌의 정도 (다이나믹한 정도) ' 는 어느정도인가요? [Sense of Dynamics] Could you clarify the perceived level of ""dynamic feeling"" in this picture?",[[역동성] 그림의 어느 부분 이 '역동적인 느낌의 정도'를 판단 하는데 영향을 주었나요?? [Sense of Dynamics] Which part of the picture influenced the perception of the 'degree of sense of dynamics'?] [,[[역동성] 그림의 어느 부분 이 '역동적인 느낌의 정도'를 판단 하는데 영향을 주었나요?? [Sense of Dynamics] Which part of the picture influenced the perception of the 'degree of sense of dynamics'?] [,[[역동성] 그림의 어느 부분 이 '역동적인 느낌의 정도'를 판단 하는데 영향을 주었나요?? [Sense of Dynamics] Which part of the picture influenced the perception of the 'degree of sense of dynamics'?] [,[[역동성] 그림의 어느 부분 이 '역동적인 느낌의 정도'를 판단 하는데 영향을 주었나요?? [Sense of Dynamics] Which part of the picture influenced the perception of the 'degree of sense of dynamics'?] [,[역동성] 해당 부분이 역동적 느낌의 정도에 영향을 느끼게한 이유 는 무엇인지 설명해주세요. [Sense of Dynamics] Please explain why the checked areas have an impact on the perceived level of dynamism in the picture.,[음악적 표현] 이 그림,[음악적 표현] 이 그림,[음악적 표현] 이 그림,"이 그림을 표현한 음악이 있다면, 그림의 역동적인 정도 외에 또 표현되었으면 하는 느낌 이 있나요? If there were music representing this picture, do you have any additional feelings you would like to be expressed other than the ""dynamics""?"
나비,8,,"[열C] colC,[열D] colD,[열B] colB","[열B] colB,[열C] colC,[열D] colD",[열D] colD,움직임이 활기차보임. 발길질.,8,7,9,"비정형적인 소리 패턴 (파도소리도 패턴이있긴하지만, 같은 시간반복은 아니라서, 뭔가 랜덤함이 살짝 같이 있는?)"
rub,8,,"[열B] colB,[열C] colC",[열D] colD,,I think i can hear the laughter of the kids,7 |  they are stepping on the waves,7 |  kids don't get alone well with low pitch when they are playing in my opinion,"6 |  normal, they are not being too naughty playing",vivid
Daisy,6,,"[열B] colB,[열C] colC,[열D] colD","[열B] colB,[열C] colC,[열D] colD","[열D] colD,[열C] colC","There are three kids playing on the beach, and there are waves too.","7 |  Since they are kids, they are supposed to be very active with high tempo.",9 |  Kids are loud and very high-pitched.,7 |  Kids are playful with a lot of movements.,I think the age of humans in the painting affected my ratings and reasons for this painting.
Doky,7,,"[열B] colB,[열C] colC","[열B] colB,[열C] colC,[열D] colD",,아이들의 움직임이라는 것과 바닷물 가운데에서 뛰는 움직임 (물의 튀김)이 역동적 느낌을 강조하는 것처럼 보여짐. ,6 |  휘몰아치는 파도와 아이들이 물을 튀기면서 노는 장면에서 오는 느낌이 빠른 템포가 어울릴 것 같음. ,7 |  비교적 어둡지 않은 배경에 활기찬 파도의 움직임과 아이들의 웃음 소리가 연상지어지기 때문에 높낮이는 높은 것이 어울릴 것 같음. ,7 |  오디오가 풍족한 것이 더 어울릴 것 같으므로 음악의 밀도는 너무 높지는 않지만 그래도 비교적 높은 것이 어울릴 것 같음. ,딱히 표현이 강조되어야 할 부분이 생각나지 않음. 
chanpig,8,[열D] colD,"[열B] colB,[열C] colC,[열D] colD","[열B] colB,[열C] colC,[열D] colD","[열B] colB,[열C] colC,[열D] colD",아이들이 앞으로 뛰어가는 자세랑 물이튀는 모습과 뒤에 파도가 치는 모습,7 | 아이들이 뛰어놀때 즐거워보여서 빠를꺼같음,6 | 색감이 주는 느낌이 너무 높지않을듯한 느낌,"8 | 파도도 치고 그 안에서 노는 애들 , 배경 색감이 주는 느낌",표정
곤듀,9,,"[열C] colC,[열D] colD","[열B] colB,[열C] colC,[열D] colD",,"인물들의 상체 움직임, 바닷물의 저항을 이겨나고 나아가려는 하체, 밀려오는 파도",9 |  그림에서 전체적으로 역동적인 느낌이 들어 매우 빠름 템포가 어울리다고 생각함 ,9 |  그림에서 느껴지는 역동적인 느낌과 함께 인물들이 아이들임을 인지함에 따라 높은 스타일의 피치가 어울리다고 생각함.,"8 |  그림 상의 인물들이 아이들이며, 바닷물의 저항을 뚫고 겨우겨우 앞으로 나아가는 장면이 연상되기 때문에 매우 분주하거나 힘차다는 느낌은 들지 않음.  따라서 어느정도의 밀도는 있으나 샘플상의 매우 높은 밀도까지는 아니다고 생각함","본 그림은 인물들의 귀엽고 발랄한 느낌과 동시에 A1,B1,C1,D1 부분에서 살짝 광활함에 가까운 느낌이 살짝 느껴짐.  이는 일반적인 모래사장이 보이는 해변의 평화로움 등과 같은 느낌과는 다른 것이며,  먼 배경의 광활한 느낌이 같이 표현된다면 한층 더 풍부하고 재미있는 음악이 될거같음"
이인애,7,,,"[열B] colB,[열D] colD,[열C] colC",,선의표현,6,7,7,여름밤
고고,7,,"[열B] colB,[열C] colC","[열B] colB,[열C] colC,[열D] colD","[열B] colB,[열C] colC,[열D] colD",달리는모습,7,7,7,없음
경,9,,"[열D] colD,[열C] colC,[열B] colB","[열D] colD,[열C] colC,[열B] colB",,"물 속에서 달리고 있는 아이들의 모습, 파도를 통해 역동성이 잘 드러남.",9 |  달리고 있는 역동성을 드러내기에 적합함.,8 |  아이들의 밝은 움직임을 드러내기에 적합함.,8 |  달리는 아이들과 파도의 복합적인 역동성을 잘 드러냄.,아이들의 밝고 맑은 느낌.
yoni,7,,"[열B] colB,[열C] colC,[열D] colD","[열B] colB,[열C] colC,[열D] colD","[열C] colC,[열B] colB,[열D] colD",그림속 인물의 연령대,8,8,2,시절(ex유년시절)의 반영 
