지정 닉네임 (Assigned Nickname),"[역동성] 이 그림에서 느껴지는 ‘역동적인 느낌의 정도 (다이나믹한 정도) ' 는 어느정도인가요? [Sense of Dynamics] Could you clarify the perceived level of ""dynamic feeling"" in this picture?",[[역동성] 그림의 어느 부분 이 '역동적인 느낌의 정도'를 판단 하는데 영향을 주었나요?? [Sense of Dynamics] Which part of the picture influenced the perception of the 'degree of sense of dynamics'?] [,[[역동성] 그림의 어느 부분 이 '역동적인 느낌의 정도'를 판단 하는데 영향을 주었나요?? [Sense of Dynamics] Which part of the picture influenced the perception of the 'degree of sense of dynamics'?] [,[[역동성] 그림의 어느 부분 이 '역동적인 느낌의 정도'를 판단 하는데 영향을 주었나요?? [Sense of Dynamics] Which part of the picture influenced the perception of the 'degree of sense of dynamics'?] [,[[역동성] 그림의 어느 부분 이 '역동적인 느낌의 정도'를 판단 하는데 영향을 주었나요?? [Sense of Dynamics] Which part of the picture influenced the perception of the 'degree of sense of dynamics'?] [,[역동성] 해당 부분이 역동적 느낌의 정도에 영향을 느끼게한 이유 는 무엇인지 설명해주세요. [Sense of Dynamics] Please explain why the checked areas have an impact on the perceived level of dynamism in the picture.,[음악적 표현] 이 그림,[음악적 표현] 이 그림,[음악적 표현] 이 그림,"이 그림을 표현한 음악이 있다면, 그림의 역동적인 정도 외에 또 표현되었으면 하는 느낌 이 있나요? If there were music representing this picture, do you have any additional feelings you would like to be expressed other than the ""dynamics""?"
나비,2,,[열C] colC,"[열B] colB,[열C] colC","[열C] colC,[열B] colB","안정적이고, 이 상태로 2시간이 지나도록 있을 수 있을것같은 느낌.",1,2,2,없음
rub,1,,,,[열D] colD,I assumed there should be a interaction between character and the environments,2 |  she looking bored and peaceful ,4 |  it's neither energetic nor holy,4 |  chilling vibe for me,"peaceful, Pianissimo (https://youtu.be/e_rvQkM0_lU?si=xXCNt19Cz_sRpJh2)"
Daisy,5,,"[열A] colA,[열B] colB,[열C] colC,[열D] colD","[열A] colA,[열B] colB,[열C] colC,[열D] colD",,"When there are humans, I tend to suppose that they are active and moving. However, in this painting, the girl looks idle. The grass behind her looks more dynamic to me.",3 |  The picture looks very calm.,4 |  I think the color scheme of the whole painting makes me think so.,"4 |  The scene looks very calming, so there should not be any bustle.",I think the overall color of the painting gives me a sense of peacefulness.
Doky,0,,,[열C] colC,,인물의 움직임이 없기 때문에 역동적인 느낌이 들지 않음,"0 |  그림의 역동성이 느껴지지 않고, 인물의 움직임도 쉼에 가깝기 때문에 아주 느린 템포의 곡이 어울림. ",1 |  인물을 둘러싼 배경이 어둡고 역동성도 없기 때문에 낮은 음이 해당 그림과 어우러질 것 같음. ,2 |  음악의 밀도 역시 역동성이 떨어지기 때문에 낮아야 더 이상적임. 딱히 음악의 역동적인 기교가 필요가 없을 것 같고 오히려 밀도가 높으면 그림에 대한 이입이 떨어질 것 같음. ,"음악의 다이나믹함이 좀 덜하게 표현되었으면 좋겠고, 잔잔한 무드가 잘 표현되었으면 좋겠음. "
chanpig,2,,[열B] colB,[열B] colB,,앉아있어서…?  풀들도 날리지않음 ,3 |  바람도 안불어서 멈춰있는 느낌,1 |  음이 필요할까싶을 정도로 지루해보임 ,1 |  앉아있고 움직임이 없어보여서,없음 
곤듀,1,"[열A] colA,[열B] colB,[열C] colC,[열D] colD",,,,그림에서 전체적으로 역동적임이 느껴지지 않음. 단지 하늘에 떠있는 구름만이 둥둥떠다니는 장면이 연상됨,3 |  전체적으로 역동적임이 느껴지지 않으나 인물의 표정에 의해 음악의 템포가 매우 느림은 확실히 아님.  매우 느림 - 보통 사이에서 보통에 조금 더 치우친 템포,8 |  그림에서 전체적인 장면보다는 인물의 표정이 눈에 들어옴 표정에서 다소 엉뚱함을 느껴짐에 따라 다소 높은 음이 연상됨,5 |  위의 세팅에서 보통의 밀도가 적합하다고 생각됨,없음
이인애,0,,,[열C] colC,,정적인느낌,1,2,2,무료함
고고,1,,[열C] colC,[열C] colC,,앉아있는모습,1,1,1,없음
경,0,,,"[열C] colC,[열B] colB",[열C] colC,가만히 있는 포즈로 역동적이지 않은 느낌을 잘 드러냄.,1 |  가만히 있고 지루하지만 잠을 자는 정도로 가만히 있는 것은 아닌 역동성을 잘 드러냄.,"2 |  정적인 느낌, 무난하고 평화로운 분위기를 잘 드러냄.","2 |  정적인 느낌, 무난하고 평화로운 분위기를 잘 드러냄.","지루함, 나른함."
yoni,3,"[열A] colA,[열B] colB,[열C] colC,[열D] colD",,[열C] colC,[열C] colC,"하늘의 구름, 인물의 자세",3 |  전반적인 풍경은 고요함,5 |  평온한느낌,3,"그림의 전반적인 배경(전,후)  인물의 기분"
밍경댕,0,"[열B] colB,[열A] colA,[열C] colC,[열D] colD",,[열C] colC,[열C] colC,산과 같은 정적인 배경과 여인의 심드렁한 표정 및 턱을 괴고 앉아있는 정지된 포즈,1 |  여인의 표정과 포즈에 드러나는 심심한 감정엔 느린 음악이 잘 어울릴 것 같음,5 |  정적으론 보이지만 우울해 보이진 않아 낮음 음보단 보통의 음악으로 표현했으면 좋겠음.,2 |  여러 악기를 사용하지 않고 단일 악기만으로 연주되는 음악이 상상됨.,여인의 고됨
배뀽,0,,[열A] colA,[열A] colA,,뒤에 풀이 흔들리는 정도? ,1 |  고민하고 있어서 ,1 |  아무 행동도 취하지 않아서 ,0 |  가만히 고민하는데 밀도가 높으면 고민을 못할 것 같음 ,"차분함, 고민, 정적임, 풍경 이쁘다 "
미지,0,"[열A] colA,[열B] colB,[열C] colC,[열D] colD","[열A] colA,[열B] colB,[열C] colC,[열D] colD","[열A] colA,[열B] colB,[열C] colC,[열D] colD","[열A] colA,[열B] colB,[열C] colC,[열D] colD","바람이 불지않는 날씨, 멍하게 앉아있는 여자 등 전체적인 분위기",2 | 역동적이지는 않지만 외부 환경을 바탕으로 하고 있기때문에 매우 느리지는 않고 어느정도만 느린 템포가 이상적임,7 | 여성의 휴식이 잠깐으로 느껴지기때문에 보통보다 약간 높은 음,1 | 휴식 중인 그림 상황에 맞게 단조로운 음악이 어울림,편안함
boldmas,0,,,"[열C] colC,[열B] colB","[열C] colC,[열B] colB",The woman is the main subject of the painting and the focus is on her.,0 | There are no actions taking place,4 | The scene is static but relaxing.,"1 | There is not much going on in the artwork, so not much density should be expected from the music.",the artwork is static because not even the wind is blowing the grass or the trees in her background.
jellybelly,2,,,[열C] colC,,"이 그림이 역동적이지 않다고 판단하게 만든 가장 큰 요소는 그림 속 인물의 표정입니다. 물론 여인의 정적인 포즈도 영향을 주었지만, 그녀가 생각에 잠긴듯한, 무엇에 대해 사색하는 표정이 그림속 상황에서 어떠한 움직임이 부재한 것을 나타내는 것 같다고 느낀 점이 가장 큰 이유라고 생각합니다.",3 | 무엇을 생각하는 듯한 그림 속 상황에서는 천천히 흐르는 음악이 이를 적절하게 묘사할 것 같습니다.,"3 | 그림 속 대부분의 면적은 평화로운 자연을 담고 있는데, 보통 자연을 담고자 하는 음악에서는 피치가 낮은 경향이 있는 것 같습니다. 그편이 더 ""자연""스럽다는 생각입니다.","5 | 처음에는 밀도가 낮은 음악이 좋겠다는 생각을 하였지만, 그럼 전반적인 감상 경험(시각+청각)이 다소 심심할 수도 있겠다는 생각이 들어 보통으로 마킹했습니다.","자연을 주로 묘사하는 그림의 경우, 자연의 소리 (예: 갈대가 바람에 흔들리는 소리, 새소리)가 함께 묘사가 된다면 더욱 그림에 몰입이 더 잘 될 수 있겠다는 생각이 듭니다."
