지정 닉네임 (Assigned Nickname),"[역동성] 이 그림에서 느껴지는 ‘역동적인 느낌의 정도 (다이나믹한 정도) ' 는 어느정도인가요? [Sense of Dynamics] Could you clarify the perceived level of ""dynamic feeling"" in this picture?",[[역동성] 그림의 어느 부분 이 '역동적인 느낌의 정도'를 판단 하는데 영향을 주었나요?? [Sense of Dynamics] Which part of the picture influenced the perception of the 'degree of sense of dynamics'?] [,[[역동성] 그림의 어느 부분 이 '역동적인 느낌의 정도'를 판단 하는데 영향을 주었나요?? [Sense of Dynamics] Which part of the picture influenced the perception of the 'degree of sense of dynamics'?] [,[[역동성] 그림의 어느 부분 이 '역동적인 느낌의 정도'를 판단 하는데 영향을 주었나요?? [Sense of Dynamics] Which part of the picture influenced the perception of the 'degree of sense of dynamics'?] [,[[역동성] 그림의 어느 부분 이 '역동적인 느낌의 정도'를 판단 하는데 영향을 주었나요?? [Sense of Dynamics] Which part of the picture influenced the perception of the 'degree of sense of dynamics'?] [,[역동성] 해당 부분이 역동적 느낌의 정도에 영향을 느끼게한 이유 는 무엇인지 설명해주세요. [Sense of Dynamics] Please explain why the checked areas have an impact on the perceived level of dynamism in the picture.,[음악적 표현] 이 그림,[음악적 표현] 이 그림,[음악적 표현] 이 그림,"이 그림을 표현한 음악이 있다면, 그림의 역동적인 정도 외에 또 표현되었으면 하는 느낌 이 있나요? If there were music representing this picture, do you have any additional feelings you would like to be expressed other than the ""dynamics""?"
나비,10,,"[열A] colA,[열B] colB,[열C] colC","[열A] colA,[열B] colB,[열C] colC","[열A] colA,[열B] colB","역동적인 몸의 움직임. 사람의 비중이 커보여서, 상대적으로 큰 자세/역동적 자세에 눈길이 감",10,3,10,텐션.긴장도?
rub,8,"[열A] colA,[열B] colB,[열C] colC","[열A] colA,[열B] colB,[열C] colC","[열C] colC,[열B] colB",,"red for me is a really mad color, and  they seems are punching each others",7 |  it's a heated argument,3 |  it's too mad to be high,"7 |  the movements seems fast, the whole fights looks stressful",mad
Daisy,8,"[열C] colC,[열D] colD","[열B] colB,[열A] colA,[열D] colD,[열C] colC","[열A] colA,[열B] colB,[열C] colC,[열D] colD","[열A] colA,[열B] colB",The people in the scene are fighting with each other.,7 |  The fighting scene should have high tempo.,"5 |  The pressure of the fight pulls down the pitch, and the dark color scheme adds on that effect.",8 |  The scene looks intense.,I think the fight and the dark color vibrate the negativity.
Doky,8,"[열B] colB,[열C] colC","[열B] colB,[열C] colC,[열D] colD","[열C] colC,[열B] colB",,인물들의 격한 움직임과 상황적인 유추 (싸움).,8 |  긴장감 넘치는 상황을 극대화하기 위한 빠른 템포.,2 |  전반적으로 어두운 상황과 어두운 색채로 인한 낮은 핏치의 음악. (충분한 긴장감을 부여한다는 가정하에),8 |  긴박함을 double up 하기 위한 촘촘한 밀도의 음악,어두우면서도 웅장한 분위기를 살릴 수 있는 요소.
chanpig,7,,"[열A] colA,[열B] colB,[열C] colC,[열D] colD","[열A] colA,[열B] colB,[열C] colC,[열D] colD","[열A] colA,[열B] colB,[열C] colC,[열D] colD",몸의 움직임이 보임,8 |  팔을 뻗은 사람 맞는 사람 말리는사람이 모다 다 다급해보인다 ,3 |  배경 색감이좀 착하고 남자들의 싸움은 좀 낮은 음일듯,7 |  남자들이 싸우는 모습과 배경이 주는 느낌? ,없음
곤듀,10,"[열A] colA,[열B] colB,[열C] colC,[열D] colD","[열D] colD,[열C] colC,[열B] colB,[열A] colA","[열D] colD,[열C] colC,[열B] colB,[열A] colA","[열D] colD,[열C] colC,[열B] colB,[열A] colA",디테일하고 현실적인 표현의 그림은 아니지만 인물의 행동 배경 화풍 등 모든면이 역동적 느낌을 줌,9 |  매우 역동적임을 느끼게 하는 그림으로 매우 빠른 템포가 어울릴 것으로 생각됨,0 |  그림의 색감이 전체적으로 어둡고 무거운 느낌을 받게 함에 따라 매우 낮은 피치의 음이 어울릴 것으로 생각함,9 |  매우 높은 밀도의 음으로 더욱더 긴장감있고 호소력짙은 표현을 해야한다고 생각함,없음
이인애,7,[열B] colB,"[열B] colB,[열C] colC",,,강렬한색감,7,6,7,강렬함
고고,9,,"[열B] colB,[열C] colC,[열D] colD","[열B] colB,[열C] colC,[열D] colD",,싸우는모습과 말리는 모습,9,9,9,없음
경,8,,"[열D] colD,[열B] colB","[열A] colA,[열B] colB,[열C] colC","[열A] colA,[열B] colB","다리를 디디는 자세, 다른 사람과의 관계를 통해 역동적인 느낌을 받을 수 있음.",8 |  빠른 속도의 곡을 통해 사람들의 역동적인 움직임을 잘 드러냄.,2 |  힘을 주는 듯한 남성적인 움직임에 잘 어울림.,"5 |  아주 가볍지도, 여유롭지도 않은 움직임에 잘 어울림.",단단함.
yoni,7,"[열B] colB,[열C] colC,[열D] colD",[열C] colC,,,투박한 그림의 질감 ,3,3,2,없음
