,name,artwork,poseType,sod,gRoq1_mat,gRoq2_mat,gRoq3_mat,gRoq4_mat,reasons,tempo_score,tempo,pitch_score,pitch,density_score,density
0,나비,A11,fight,10,"[0, 0, 0, 0]","[0, 1, 1, 0]","[0, 1, 1, 0]","[0, 1, 1, 0]",팔동작 (많이 들어올려져 있다는 것) -- 힘을 많이 써서 애써 하는 동작,9.0,9,3.0,3,8.0,8
1,rub,A11,fight,7,"[0, 1, 1, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]",It seems like they are fighting..?,3.0,3 |  I'm not sure if there are rocks in their hands but it makes me feel like it should be strong but solid tempo,2.0,"2 |  as the reason above, and the color makes me feel more con forza",3.0,3 |  as a reason above
2,Daisy,A11,fight,6,"[0, 0, 0, 0]","[1, 1, 1, 1]","[1, 1, 1, 1]","[0, 1, 1, 0]",I see three humans and probably the sea behind them.,7.0,7 |  I think the people are fighting.,7.0,7 |  So the fight should be a bit dramatic.,7.0,7
3,Doky,A11,fight,8,"[0, 0, 0, 0]","[0, 1, 1, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]",그림 속 인물의 높고 넓게 뻗은 팔이 역동적인 느낌을 가장 많이 주는 부분으로 보여짐.,8.0,8 |  뭔가 긴박한 상황처럼 보여지는 그림의  context상 빠른 템포의 음악이 연상됨.,6.0,"6 |  그림의 역동적인 부분이 '몸싸움'을 표현하는 것으로 보여지는데, 색채가 비교적 밝아서 너무 심각하고 심오한 것으로 보여지지는 않음. 따라서 높은 비교적 높은 핏치가 어울릴 것으로 생각됨. ",9.0,9 |  높은 밀도의 음악이 해당 그림의 긴박한 역동성을 더 풍부하게 심화시켜 줄 수 있을 것 같음. 
4,chanpig,A11,fight,5,"[1, 0, 1, 0]","[1, 1, 1, 0]","[1, 1, 1, 0]","[1, 1, 1, 1]",팔을 올려 내려칠듯함 ,4.0,4 |  색감이 흐리멍텅하고 선도 곡선이 많아서 느려보임,3.0,3 |  천천히 움직이는 느낌이라 높은음 말고 낮은음이 느껴짐 색감도 칙칙해서 ,3.0,3 |  역동적인듯하나 뭔가 확신하게 선과 색감이 없어서 
5,곤듀,A11,fight,7,"[0, 1, 1, 0]","[0, 1, 1, 0]","[0, 1, 1, 0]","[0, 0, 0, 0]",허리에서 팔까지 이어지는 선형이 무언가를 던지는 듯한 느낌을 줌,1.0,"1 |  서로에게 무엇을 던지는 듯한 형태를 보이고 있으나, 전체적인 색감에 의해 슬로우 모션을 보는 듯한 느낌이 듬",1.0,"1 |  역동적이나 슬로우 모션이 연상됨에 따라 다소 우울한 느낌이 들기 때문에, 가벼운 피치보다는 좀더 무거운 피치가 어울린다고 생각함",8.0,8 |  위와같은 음 세팅에서 높은 밀도의 음을 입히는게 메시지 전달에 더 효과적이라고 생각함
6,이인애,A11,fight,7,"[1, 0, 0, 0]","[1, 1, 1, 1]","[1, 0, 0, 0]","[0, 0, 1, 0]",선의표현,7.0,7,7.0,7,5.0,5
7,고고,A11,fight,7,"[0, 0, 1, 0]","[0, 1, 1, 0]","[0, 1, 1, 0]","[0, 1, 1, 0]",팔다리동작,7.0,7,7.0,7,7.0,7
8,경,A11,fight,8,"[0, 0, 0, 0]","[0, 1, 1, 0]","[0, 1, 1, 0]","[0, 1, 1, 0]","팔, 다리의 움직임이 잘 드러남, 다양한 자세와 인물 간의 관계를 통해 역동성이 잘 드러남.",8.0,8 |  너무 밝은 분위기가 아닌 적당히 긴장감 있는 분위기를 잘 드러냄.,2.0,"2 |  아주 밝지는 않은 분위기, 남성적인 움직임을 잘 드러냄.",7.0,7 |  적당히 긴장감 있는 역동성을 잘 드러냄.
9,yoni,A11,fight,8,"[0, 0, 0, 0]","[0, 1, 1, 0]","[0, 1, 1, 0]","[0, 1, 1, 0]",인물의 움직임이 큼,8.0,8 |  인물의 자세가 역동적이기때문에 긴박하게 느껴짐,2.0,"2 |  자세는 역동적이나 그림 전체의 느낌은 무거움(인물의 체형,색감)",2.0,2 |  2번과 같은이유
10,밍경댕,A11,fight,10,"[0, 0, 1, 0]","[0, 1, 1, 0]","[0, 1, 1, 0]","[0, 0, 0, 0]",돌을 들고 싸우는 느낌이 들고 한 사람은 돌에 맞아 쓰러지고 있는 것 같음.,9.0,9 |  서로의 생명을 걸고 싸우는 긴박함을 나타내는 음악이 나왔으면 좋겠음.,1.0,1 |  낮음 음으로 싸움의 처절함을 느낄 수 있게 만들었으면 좋겠음.,2.0,2 |  낮은 밀도로 중후한 느낌을 주었으면 좋겠음. 
11,배뀽,A11,fight,10,"[1, 1, 1, 1]","[1, 1, 1, 1]","[1, 1, 1, 1]","[1, 1, 1, 1]","배경의 흔들림, 가운데사람 움직임 돌 들고 싸움",8.0,8 |  싸울 땐 빠르게 진행되야 함,1.0,1 |  무거운 느낌이 필요할 것 같음,8.0,8 |  빠르게 싸움을 끝내고 싶음
12,미지,A11,fight,8,"[0, 1, 1, 0]","[0, 1, 1, 0]","[0, 1, 1, 0]","[0, 0, 0, 0]",싸우는듯한 동작과 거친 배경표현,4.0,4 | 역동적이나 힘겨운 모습으로 보여서 그다지 빠르지않은 음악이 어울림,2.0,2 | 상동,2.0,2 | 밀도가 높을수록 경쾌한 분위기가 느껴지는데 그림은 경쾌한 느낌이 들지않음
