,name,artwork,poseType,sod,gRoq1,gRoq2,gRoq3,gRoq4,reasons,tempo_score,tempo,pitch_score,pitch,density_score,density
0,나비,A7,ballet,7,,"[열B] colB,[열C] colC","[열B] colB,[열C] colC",,움직이는 동작이 뭔가를 하고잇는것같아서. ,8.0,8,4.0,4,8.0,8
1,rub,A7,ballet,8,,,,"[열B] colB,[열C] colC","I think tipping toe is not a regular pose that we will do in our dailylife as a static pose, as a result, I assumed it will be a capture of the move during a dance.",8.0,8 |  It reminds me of playful musics like Ｍozart,7.0,7 |  high pitch will be more vivid in general,9.0,9 |  Still think it should be a playful music with a lot of ornaments
2,Daisy,A7,ballet,8,,"[열B] colB,[열C] colC,[열D] colD,[열A] colA","[열C] colC,[열D] colD,[열B] colB,[열A] colA",[열B] colB,"I could see two people who are dancing in the middle, although other people around these two are standing still, which affected my scoring for the “dynamic feeling .”",8.0,8 |  The two people are dancing enthusiastically.,8.0,"8 |  I think the two people’s movements are of some high-pitched dance, probably because this is an old painting and I think they are dancing to some classic music.",8.0,"8 |  Again, they look so enthusiastic while dancing, so they might have heard some happy music."
3,Doky,A7,ballet,5,,"[열B] colB,[열C] colC","[열B] colB,[열C] colC",,"그림의 색채가 제일 밝기도 하고, 인물의 팔다리 움직임이 가장 역동적으로 보여짐.",7.0,7 |  조금 빠른 템포의 음악이 가미되어야 춤을 추는 인물의 동작에 이입감을 줄 수 있을 것 같음.,4.0,4 |  너무 높지 않지만 낮지도 않은 (낮음에 가까운) 보통의 피치가 그림의 어두운 배경 색채와 어울릴 것 같음.  가장 역동적인 움직임의 중앙 인물의 색채는 밝지만 전반적으로 그림을 봤을때에는 어두운 느낌이 강함. ,8.0,8 |  일단 역동적임을 보여주는 동작이 해당 그림에서는 '춤'이기 때문에 음악의 밀도는 높은 것이 좋을 것 같음.
4,chanpig,A7,ballet,5,,"[열B] colB,[열C] colC",,"[열B] colB,[열C] colC",몸이 기울어져있음 ,5.0,5 |  두명만 살짝의 기울임만 잇어서 ,5.0,5 |  색감이 주는 무거움,5.0,5 |  춤을 우와하게 출듯해서 적당히 천천히 움직일듯함  
5,곤듀,A7,ballet,5,,"[열B] colB,[열C] colC","[열B] colB,[열C] colC","[열B] colB,[열C] colC",선택한 부분에서 두 사람이 합을 맞추어 춤을 추고 있음이 느껴짐,5.0,5 |  그림의 색감 등 전체적인 분위기가 우아한 파티를 연상캐 함,3.0,3 |  샘플상의 보통피치는 본 그림에서 느껴지는 분위기에 비해 가볍다고 생각됨. 매우 낮은 피치 또는  매우 낮은 - 보통의 사이정도의 피치가 적당할 것으로 생각함.,5.0,5 |  그림을 보자마자 우아함이 연상됨. 따라서 보통의 음의 밀도가 적합하다고 생각함.
6,이인애,A7,ballet,4,,"[열B] colB,[열C] colC",,"[열B] colB,[열C] colC",움직임표현,4.0,4,5.0,5,3.0,3
7,고고,A7,ballet,5,,"[열B] colB,[열C] colC",[열B] colB,,손,5.0,5,5.0,5,5.0,5
8,경,A7,ballet,6,,"[열D] colD,[열B] colB,[열C] colC","[열A] colA,[열D] colD,[열B] colB","[열A] colA,[열B] colB","동적인 팔, 다리 동작과 다른 인물의 정적인 다리 동작으로 약간만 동적이라고 느낌.",5.0,5 |  빠르지 않게 적당히 동적인 느낌을 잘 드러냄.,2.0,2 |  고풍스러운 옷과 어울리는 적당히 동적인 분위기를 잘 드러냄.,2.0,2 |  너무 화려하지 않게 적당히 동적인 분위기를 잘 드러냄.
9,yoni,A7,ballet,5,,"[열B] colB,[열C] colC","[열B] colB,[열C] colC","[열B] colB,[열C] colC",인물의 움직임 (두 사람 제외하곤 움직임이 느껴지지않음),3.0,3,6.0,6,2.0,2
10,밍경댕,A7,ballet,8,"[열B] colB,[열C] colC",,,"[열B] colB,[열C] colC",발 끝이 세워져 있어 현재 정지상태가 아니라 움직이고 있는 것 같은 느낌을 줌,5.0,5 |  복장이 중세시대의 것으로 추정하였을 때 노래의 템포가 빠르지 않을 것 같고 춤 추는 방식이 그렇게 빠른 템포는 아닐 것 같아서,3.0,3 |  낮음 음의 중후한 음악에 맞춰 춤을 출 것 같은 느낌이 듬,9.0,9 |  오케스트라의 실제 연주를 음악삼아 춤을 추는 그림 같아서 밀도가 높을 것으로 예상됨.
11,배뀽,A7,ballet,4,,"[열B] colB,[열C] colC","[열B] colB,[열C] colC","[열B] colB,[열C] colC",가운데 두 사람의 손끝과 발끝,5.0,5 |  클래식 분위기라서 ,5.0,5 |  격렬하지 않아서 ,7.0,7 |  밀도는 높여서 간격이 없을 것 같음
12,미지,A7,ballet,6,,"[열B] colB,[열C] colC","[열B] colB,[열C] colC","[열B] colB,[열C] colC",춤을 추는 모습,6.0,6 | 춤을 추고있는 두명 빼고는 크게 역동적이어보이지 않아서 보통보다 약간 빠른 음악이 어울린다,3.0,3 | 상류층으로 보이기때문에 높지않은 음이 어울림,4.0,4 | 약간 가벼운 분위기로 보이기때문에
13,boldmas,A7,ballet,6,,"[열B] colB,[열C] colC","[열B] colB,[열C] colC",,This is where the most movement is taking place.,9.0,9 | It feels like they are dancing to a fast and lively music.,7.0,"7 | They seem to be dancing happily and to me, it is associated with a higher pitch.",1.0,"10 | They seem to be dancing happily with quick movements, and to me, it is associated with a higher density."
14,jellybelly,A7,ballet,5,,"[열C] colC,[열B] colB","[열B] colB,[열C] colC","[열C] colC,[열B] colB","두 사람이 춤을 추고 있는 (~ing) 동작이 보이기 때문에 그림의 역동성이 느껴졌습니다. 다만 level of movement가 높지 않고, 살랑살랑 움직이는 정도로 느껴졌기에 5점을 부여했습니다.",6.0,"6 | 춤을 추고 있는 장면이기 때문에 템포가 너무 느리기보다, 또 슬로우 댄스류의 춤은 아닌 것 같아 보통 정도의 템포인 음악이 그림 속 장면을 더욱 생생하게 살려줄 것이라고 봅니다.",6.0,"6 | 아까와 비슷한 이유로 너무 차분한 춤을 보이지 않아서 너무 낮으면 안될 것 같고, 또 옷의 색상이 다소 강렬하다보니 너무 잔잔하게 낮은 음역대의 곡이 아닌 적당히 높은 음악이 적절할 것으로 봅니다.",3.0,"3 | 밀도의 경우 작품 속 스토리의 밀도와도 연관 지을 수 있을 것 같은데, 이 작품 속에서는 중앙에 있는 남녀가 주축이 되며 별도의 스토리라인이 보이지 않기 때문에 너무 밀도가 높은 음악을 사용할 경우 음악이 그림을 압도할 것 같다는 생각입니다."
