,name,artwork,poseType,sod,gRoq1,gRoq2,gRoq3,gRoq4,reasons,tempo_score,tempo,pitch_score,pitch,density_score,density
0,나비,A4,dancing,8,,[열C] colC,[열C] colC,[열C] colC,팔다리의 움직임. 가만히있지 않는 자세,8.0,8,7.0,7,9.0,9
1,rub,A4,dancing,8,[열C] colC,"[열A] colA,[열B] colB,[열C] colC","[열A] colA,[열B] colB,[열C] colC",,the characters in the painting are all really vivid,9.0,9 |  they are partying!!,8.0,8 |  the flute and tambourine makes me feel like that,9.0,9 |  the flute and tambourine makes me feel like that
2,Daisy,A4,dancing,9,,"[열A] colA,[열B] colB,[열C] colC,[열D] colD","[열A] colA,[열B] colB,[열C] colC,[열D] colD","[열A] colA,[열C] colC",There is a huge group of people who are enjoying the music.,8.0,8 |  I think it’s a happy dance to celebrate the harvest season.,6.0,"6 |  The pitch is not very high, but it should sound full of joy and fun.",7.0,"7 |  Since it’s a happy dance, the density should be relatively high."
3,Doky,A4,dancing,8,,[열C] colC,[열C] colC,,인물의 움직임과 악기(탬버린)의 가미. 또한 밝고 강렬한 색채.,7.0,7 |  악기가 보여지므로 조금 빠른 템포의 움직임이 어울릴 것 같음.,8.0,8 |  강렬하고 화려한 색채로 인하여 높은 핏치의 음악이 어울림.,8.0,8 |  뭔가 빠르고 밀도 있는 음악이 경쾌한 상황과 역동성과 어울림. 
4,chanpig,A4,dancing,5,,[열C] colC,[열C] colC,,탬버린을 흔드는 모습이 역동적이다 ,6.0,6 |  막 빠른 느낌은 없고 짤랑 짤랑 흔들꺼같음 ,5.0,5 |  색감이 조금 밝은 색이 아니라서 음이 높지않을것같다 ,8.0,8 |  색감이 명암이 좀 탁한편이라 밀도가 높아보임 
5,곤듀,A4,dancing,6,"[열A] colA,[열D] colD","[열B] colB,[열A] colA,[열C] colC,[열D] colD","[열A] colA,[열B] colB,[열C] colC,[열D] colD",,인물들의 표정 및 주변 배경을 표현함에 있어서 현실적인 역동성이 느껴짐,7.0,7 |  인물들의 표정과 탬버린과 같은 타악기를 들고 춤을추는 듯한 모습에 매우 빠르진 않지만 약간은 빠른템포의 음악이 어울릴 것으로 생각함,5.0,5 |  그림에서 음의 높낮이를 조절하여 인위적으로 만드는 음악 또는 노래가 아닌 사람의 육성이 들리는 듯한 느낌을 받음.,5.0,"5 |  그림에서 현실적인 느낌을 받고 있으며, 적당한 밀도의 음악이 어울릴 것으로 생각함"
6,이인애,A4,dancing,5,,[열C] colC,"[열B] colB,[열C] colC",,움직임표현,6.0,6,6.0,6,3.0,3
7,고고,A4,dancing,7,,[열C] colC,[열C] colC,[열C] colC,춤추는 모습,7.0,7,7.0,7,7.0,7
8,경,A4,dancing,9,,[열C] colC,"[열B] colB,[열C] colC",[열C] colC,춤추는 모습과 박수 치는 모습을 통해 활동적인 느낌을 받을 수 있음.,8.0,8 |  가볍고 밝은 춤을 추는 움직임을 잘 드러냄.,7.0,7 |  춤을 추는 움직임을 잘 드러냄.,8.0,8 |  가볍게 춤을 추는 화려한 움직임을 잘 드러냄.
9,yoni,A4,dancing,7,"[열C] colC,[열D] colD",[열C] colC,[열B] colB,[열C] colC,인물의 움직임 관객의 표정,5.0,5,8.0,8,7.0,7
