,name,artwork,poseType,sod,gRoq1_mat,gRoq2_mat,gRoq3_mat,gRoq4_mat,reasons,tempo_score,tempo,pitch_score,pitch,density_score,density
0,나비,A8,ballet,9.0,"[0, 0, 0, 0]","[0, 1, 1, 1]","[1, 1, 1, 1]","[0, 1, 0, 0]",팔다리의 큰 움직임,9.0,9,7.0,7,8.0,8
1,rub,A8,ballet,9.0,"[1, 1, 1, 1]","[1, 1, 1, 1]","[1, 1, 1, 1]","[1, 1, 1, 1]","it's a really loud painting for me, can hear the trainer shouting in the ballet classroom",8.0,8 |  i can image they've repeated this for thousands,7.0,7,8.0,8 |  he ( the trainer) is mad
2,Daisy,A8,ballet,6.0,"[0, 0, 0, 0]","[0, 1, 1, 1]","[1, 1, 1, 0]","[0, 1, 0, 1]","The women are dancing, but the quality of the painting (or the drawing style) makes me feel that the definition is not good enough for rating the dynamics.",6.0,6 |  I think the tempo here is the tempo of the ballet dance.,8.0,"8 |  Because there is a conductor at the bottom of the painting, I think the music is high-pitched.",7.0,7 |  Same reason with the question about the pitch.
3,Doky,A8,ballet,8.0,"[0, 0, 0, 0]","[0, 0, 1, 1]","[0, 1, 0, 0]","[0, 0, 0, 0]",일단 역동적 움직임을 하는 인원이 다인원임에 따라 역동성이 극대화됨 ,7.0,7 |  단체의 움직임인만큼 비교적 빠른 음악이 어울릴 것 같음. ,4.0,4 |  뭔가 부족의 느낌이 강하기 때문에 좀 웅장하고 어두워보여 보통보다 조금 낮은 핏치가 어울림. ,9.0,9 |  부족의 음악처럼 다양한 음악적 색채로 어우러진 높은 밀도의 음악이 어울릴 것 같음. 
4,chanpig,A8,ballet,7.0,"[1, 1, 1, 1]","[1, 1, 1, 1]","[1, 1, 0, 0]","[1, 1, 0, 0]",움직임도 보이고 배경에ㅜ라인이 잇어서 좀더 역동적,7.0,7 |  배경에 라인때문에 좀더 빠라보임,6.0,6 |  배경이 주는 색감때문에 엄청 높지않을듯 ,8.0,8 |  배경때문에 뭔가 급하고 긴장감이 보임
5,곤듀,A8,ballet,5.0,"[0, 0, 0, 0]","[0, 1, 1, 0]","[0, 1, 1, 0]","[0, 1, 1, 0]",선택한 부분에서 두 사람이 합을 맞추어 춤을 추고 있음이 느껴짐,5.0,5 |  그림의 색감 등 전체적인 분위기가 우아한 파티를 연상캐 함,3.0,3 |  샘플상의 보통피치는 본 그림에서 느껴지는 분위기에 비해 가볍다고 생각됨. 매우 낮은 피치 또는  매우 낮은 - 보통의 사이정도의 피치가 적당할 것으로 생각함.,5.0,5 |  그림을 보자마자 우아함이 연상됨. 따라서 보통의 음의 밀도가 적합하다고 생각함.
6,이인애,A8,ballet,7.0,"[0, 0, 0, 0]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]",선 터치 강렬,7.0,7,6.0,6,4.0,4
7,고고,A8,ballet,9.0,"[0, 0, 0, 1]","[1, 1, 1, 1]","[0, 1, 1, 1]","[0, 0, 0, 0]",다수가 춤추는 모습,9.0,9,9.0,9,9.0,9
8,경,A8,ballet,10.0,"[0, 0, 0, 1]","[0, 0, 1, 0]","[1, 1, 1, 0]","[0, 1, 0, 0]","여러 인물의 팔, 다리의 포즈로 활동적인 움직임이 잘 드러남.",9.0,9 |  활동적인 움직임을 잘 나타냄.,7.0,"7 |  무겁지 않은 분위기, 여러 사람의 움직임을 잘 드러냄.",8.0,8 |  여러 사람의 움직임을 잘 드러냄.
9,yoni,A8,ballet,7.0,"[0, 0, 0, 0]","[1, 1, 1, 1]","[1, 1, 1, 1]","[1, 1, 1, 1]",인물과 배경의 경계의 모호함 오른쪽 밑 쌩뚱맞은 손,9.0,9,8.0,8,3.0,3
10,밍경댕,A8,ballet,6.0,"[0, 0, 0, 0]","[0, 0, 1, 1]","[0, 1, 1, 0]","[0, 1, 0, 1]",자세가 역동적인 자세이나 화법이 좀 차분해서 그렇게 역동적으로 안 느껴짐 또한 회초리로 인해 억지로 연습하는 느낌,3.0,3 |  화법이나 색감이 그렇게 빠른 느낌은 안 듬,4.0,4 |  어두운 발레가 생각남.,8.0,8 |  배경이 짙은 녹색이다보니 밀도가 좀 높은 음으로 구성될 것 같음.
11,배뀽,A8,ballet,9.0,"[1, 1, 1, 1]","[1, 1, 1, 1]","[1, 1, 1, 0]","[1, 1, 1, 1]",춤추는 발레리나 숲의 떨림 ,8.0,8 |  지휘자의 지휘봉이 빠를 것 같음 ,9.0,9 |  빠른음으로 격렬하게 했으면 좋겠다 ,9.0,9 |  사람 많은 걸로 보아 밀도가 촘촘해야한다 
12,미지,A8,ballet,6.0,"[1, 1, 1, 1]","[1, 1, 1, 0]","[1, 0, 0, 0]","[1, 0, 0, 0]",배경의 거친표현이 역동성을 살림,4.0,4 | 질감 표현이 거칠게 느껴지고 전체적인 색채가 어두워 밝은 느낌의 빠른템포가 어울리지않음,4.0,4 | 위와 같은 이유,8.0,8 | 등장인물들의 수가 많기 때문에
13,boldmas,A8,ballet,10.0,"[0, 0, 0, 0]","[0, 1, 1, 1]","[1, 1, 1, 0]","[1, 1, 0, 0]",The moving subjects of the painting and the most amount of concentrated and long brush strokes.,1.0,10 | The subjects seem to be dancing swiftly,8.0,8 | The performance seems to be very lively,1.0,10 | The performance seems to be intricate and lively and there are a multitude of people dancing
14,jellybelly,A8,ballet,,"[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]",,,,,,,
