,name,artwork,poseType,sod,gRoq1_mat,gRoq2_mat,gRoq3_mat,gRoq4_mat,reasons,tempo_score,tempo,pitch_score,pitch,density_score,density
0,나비,A14,sit,2,"[0, 0, 0, 0]","[0, 0, 1, 0]","[0, 0, 1, 0]","[1, 1, 1, 1]",사람이 일단 평온하게 앉아있기때문에 낮은 역동적 느낌. 그러나 풀이 살짝 흔들려서 살짝의 역동성느낌은 있음,2.0,2,4.0,4,1.0,1
1,rub,A14,sit,3,"[0, 0, 0, 0]","[0, 0, 0, 0]","[1, 1, 1, 1]","[1, 1, 1, 1]",I think it's mainly because of the grassland and windy feeling,3.0,3 |  peaceful,5.0,5 |  comfortable pitch,5.0,5 |  comfortable
2,Daisy,A14,sit,6,"[1, 1, 1, 1]","[1, 1, 1, 1]","[1, 1, 1, 1]","[1, 1, 1, 1]","The woman at the center, and the grass that can move when the wind blows.",6.0,6 |  The tempo entirely follows the rhythm of the grass waves.,5.0,5 |  It looks like a peaceful noon.,5.0,5 |  I think the density varies with the wind speed.
3,Doky,A14,sit,1,"[0, 0, 0, 0]","[0, 0, 1, 0]","[0, 0, 1, 0]","[0, 0, 0, 0]",역동적인 요소가 딱히 보이지 않음,5.0,5 |  나름 잔잔하지만 밝은 색채가 주는 느낌으로 인하여 중간정도의 템포의 음악,8.0,8 |  음악의 핏치는 밝은 색채와 움직임은 없지만 경쾌한 느낌으로 인하여 높았으면 좋겠음.,5.0,5 |  잔잔하고 평화로운 휴식의 분위기이기 때문에 밀도는 딱 중간정도가 좋을 것 같음.
4,chanpig,A14,sit,2,"[0, 0, 0, 0]","[0, 0, 0, 0]","[1, 0, 0, 1]","[1, 1, 1, 1]",풀들이 날림,1.0,1 |  사람은 가만히 앉아있고 풀들만 움직여서 ,3.0,3 |  색감이 주는 느낌? 움직임이 없음,1.0,1 |  풀들움직임만 느껴져서 
5,곤듀,A14,sit,6,"[1, 1, 1, 1]","[1, 1, 0, 1]","[1, 0, 0, 1]","[1, 1, 1, 1]",인물보다는 주변 배경에 의해 역동적 느낌을 받음.,3.0,"3 |  본 그림에서 주변의 식물들이 살랑사랑 거리는 느낌을 받았으며, 약간의 느림에서 보통 사이의 템포가 어울릴 것으로 생각됨.",4.0,4 |  본 그림에서 잔잔함이 느껴짐에 따라 너무 높지도 낮지도 않은 피치의 음이 어울릴 것으로 생각됨.,3.0,3 |  본 그림에서 잔잔함이 느껴짐에 따라 높은 밀도보다는 살짝 느슨한 느낌의 음악이 어울릴 것으로 생각됨
6,이인애,A14,sit,2,"[0, 0, 0, 0]","[0, 0, 1, 0]","[0, 1, 1, 0]","[0, 0, 0, 0]",앉은자세,3.0,3,5.0,5,7.0,7
7,고고,A14,sit,1,"[0, 0, 0, 0]","[0, 0, 1, 0]","[0, 1, 1, 0]","[0, 0, 0, 0]",앉아있는모습,1.0,1,1.0,1,1.0,1
8,경,A14,sit,1,"[0, 0, 0, 0]","[0, 0, 1, 0]","[0, 1, 1, 0]","[0, 0, 0, 0]",앉아 있는 모습에서 정적인 느낌을 받을 수 있음.,1.0,1 |  앉아 있는 정적인 느낌을 잘 나타냄.,2.0,2 |  대체로 낮은 음이 정적인 느낌에 잘 어울림.,2.0,2 |  대체로 낮은 밀도가 정적인 느낌과 잘 어울림.
9,yoni,A14,sit,7,"[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[1, 1, 1, 1]",풀들이 바람에 흔들리는 듯한 느낌,8.0,8,7.0,7,8.0,8
10,밍경댕,A14,sit,2,"[0, 0, 0, 0]","[0, 1, 1, 0]","[1, 1, 1, 1]","[1, 1, 1, 1]",풀이 바람에 흔들리는 것을 보아 역동적으로 느껴질 법도 하지만 여인의 얼굴색 및 표정이 너무 어두워 전혀 역동적으로 느껴지지 않음.,1.0,1 |  느린 템포로 여인의 어두운 표정을 표현하고 싶음.,4.0,4 |  여인은 어둡지만 꽃의 밝음이나 바람이 부는 걸로 보아 높낮이는 조금만 낮은 걸 선택하고싶음.,4.0,4 |  봄을 표현하기 위해 가벼운 밀도를 선택하고 싶으나 여인의 얼굴 및 표정으로 인해 조금의 밀도는 부여해야 할듯
11,배뀽,A14,sit,5,"[1, 1, 0, 0]","[1, 0, 0, 0]","[1, 1, 1, 1]","[1, 1, 1, 1]",풀잎이 흔들리고 있음,5.0,5 | 산들산들,7.0,7 | 노란색이 밝다,7.0,7 | 잎이 많아서 촘촘한 느낌
12,미지,A14,sit,7,"[0, 0, 0, 0]","[0, 0, 1, 1]","[1, 1, 1, 1]","[1, 1, 1, 1]",수풀이 날리는 모습과 세밀하게 표현한 뒷배경이 역동적인 느낌을 줌,5.0,5 | 흩날리는 수풀과 달리 가만히 앉아있는 여성의 모습이 역동성을 중화시키는 느낌이라 보통템포의 음악이 떠오름,5.0,5 | 위와 같음,8.0,8 | 빼곡한 수풀이 바람에 흔들리는 소리들이 높은 밀도로 표현되면 좋을 것 같음
13,boldmas,A14,sit,7,"[0, 0, 0, 0]","[0, 0, 1, 0]","[1, 1, 1, 1]","[1, 1, 1, 1]",the main subject of the painting and the long grass,6.0,"6 | even though the character is resting, the tall grass seems to be in movement. and the different shades of grass, gives the artwork extra life",6.0,6 | the bright grass in the background and the tall moving grass in the front and the resting lady have a great balance.,3.0,"3 | except for the grass, nothing else is in movement."
