,name,artwork,poseType,sod,gRoq1_mat,gRoq2_mat,gRoq3_mat,gRoq4_mat,reasons,tempo_score,tempo,pitch_score,pitch,density_score,density
0,나비,A5,dancing,6,"[0, 0, 0, 0]","[0, 1, 1, 0]","[0, 1, 1, 0]","[0, 0, 0, 0]",팔다리의 움직임이 쉬운움직임이 아님,8.0,8,9.0,9,7.0,7
1,rub,A5,dancing,7,"[0, 0, 0, 0]","[0, 1, 1, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]",The ribbon is really dynamic,8.0,8 |  I think the characteristic style of this painting is really obviously Indian or mid-asian,8.0,8 |  the same reason above,9.0,9 |  it should be danceable with really fancy moves
2,Daisy,A5,dancing,6,"[0, 0, 0, 0]","[0, 1, 1, 0]","[0, 1, 1, 0]","[0, 1, 1, 0]",Only the human is moving.,8.0,8 |  She is dancing.,8.0,"8 |  I guess the music is from some Indian, Middle Eastern culture, and as far as I know the pitch of their music is pretty high.",8.0,8 |  The music from Indian and Middle Eastern culture is dense too.
3,Doky,A5,dancing,5,"[0, 0, 0, 0]","[0, 1, 1, 0]","[0, 1, 1, 0]","[0, 0, 0, 0]","색채의 활기참, 배경의 밝기, 인물의 동작이 역동적 느낌을 double-up 시킴.",6.0,6 |  역동성을 나타내는 움직임의 정도가 크지는 않지만 인물의 의상 색이 발랄하고 활기차기 때문에 보통보다는 조금 더 빠른 템포가 어울릴 것 같음.,7.0,"7 |  음악의 높낮이는 높은 것이 어울릴 것 같음. 템포가 빠르지는 않아도, 핏치가 높으면 뭔가 자연스러우면서도 활기차보이는 이미지가 극대화될 것 같음. ",7.0,7 |  그림속 색채와 명도가 밝고 그림속 다양한 패턴들의 조화로 인하여 음악의 밀도가 높은 것이 어울릴 것 같음. 
4,chanpig,A5,dancing,4,"[0, 0, 0, 0]","[0, 1, 1, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]",머리위에 손을 올려서 춤을 추는듯함,3.0,3 |  천천히 움직이면서 춤을 추는듯함,3.0,3 |  색감도 좀 어둡고 느긋하게 춤출듯함,7.0,7 |  색감이 어둡고 명암이 어둡게 들어가서 밀도가 높아보임 
5,곤듀,A5,dancing,5,"[0, 0, 0, 0]","[0, 1, 1, 0]","[0, 1, 1, 0]","[0, 1, 1, 0]","인물의 포즈에서 역동성이 느껴짐, 그림의 질감 때문에 아주 역동적이게 느껴지진 않음",8.0,8 |  인물의 포즈에서 다소 분주함이 느껴짐. 샘플상의 매우 빠름은 확실히 아님. 보통 - 매우 빠름 사이에서 빠름에 살짝 더 치우친 템포,3.0,3 |  샘플상의 보통은 본 그림에 어울리지 않음  매우 낮은 스타일 - 보통 사이에서 보통에 조금더 치우치는 피치,8.0,8 |  전체적으로 큰 역동성은 느껴지지않으나 인물의 행동에서 어느정도의 분주함은 느껴짐. 샘플상의 매우 높은 밀도는 확실히 아님 보통 - 매우 높은 밀도 사이에서 높은 밀도에 조금더 치우친 밀도
6,이인애,A5,dancing,4,"[0, 0, 0, 0]","[0, 1, 1, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]",선의표현,3.0,3,7.0,7,3.0,3
7,고고,A5,dancing,5,"[0, 0, 0, 0]","[0, 1, 1, 0]","[0, 1, 1, 0]","[0, 0, 0, 0]",춤추는모습,5.0,5,5.0,5,5.0,5
8,경,A5,dancing,7,"[0, 0, 0, 0]","[0, 1, 1, 0]","[0, 0, 0, 0]","[0, 0, 1, 0]","표정, 팔다리의 움직임.",6.0,6 |  아주 빠르지는 않은 움직임을 잘 드러냄.,4.0,4 |  적당한 움직임을 잘 드러냄.,6.0,6 |  아주 빠르지는 않은 적당히 화려한 움직임을 잘 드러냄.
9,yoni,A5,dancing,8,"[0, 0, 0, 0]","[0, 1, 1, 0]","[0, 1, 1, 0]","[0, 1, 1, 0]",인물의 얼굴,7.0,7,7.0,7,6.0,6
10,밍경댕,A5,dancing,8,"[0, 0, 0, 0]","[0, 1, 1, 0]","[0, 0, 0, 0]","[0, 1, 1, 0]",손짓과 발짓 의상의 화려함을 통해 역동적임이 느껴짐.,8.0,8 |  브라질의 삼바처럼 좀 빠른 음악이 상상됨,8.0,8 |  높은 음으로 신나는 느낌 ,3.0,3 |  여러 악기를 동시에 연주해 화려한 느낌이 상상됨.
11,배뀽,A5,dancing,4,"[0, 0, 0, 0]","[0, 1, 1, 0]","[0, 1, 1, 0]","[0, 1, 1, 0]",사람의 춤사위 ,4.0,4 |  3/4박자 느낌 ,8.0,8 |  인도 쪽 전통 춤 생각나서 높은 음이 어울릴 것 같음 ,2.0,2 |  그렇게 촘촘한 느낌은 아님
12,미지,A5,dancing,7,"[0, 0, 0, 0]","[0, 1, 1, 0]","[1, 1, 1, 1]","[0, 0, 0, 0]",전체적으로 단조로운데 해당부분만 색채감이 있어서,7.0,"7 | 뱀이 움직이는 동작, 뱀을 든 여성의 동작이 빠른템포와 어울림",9.0,9 | 빠른 움직임에 어울림,8.0,8 | 빠른 움직임에 어울림
13,boldmas,A5,dancing,6,"[0, 0, 0, 0]","[0, 1, 1, 0]","[0, 1, 1, 0]","[0, 1, 1, 0]",The woman is the subject of the painting and seems to be dancing.,3.0,3 | The woman seems to be dancing slowly with a snake in hands.,6.0,6 | It gives off a feeling similar to the Arabian Nights or Aladdin. Such imagery is usually associated with higher pitch.,3.0,3 | The subject seems to be dancing slowly and steadily and nothing else seems to be happening.
