,name,artwork,poseType,sod,gRoq1_mat,gRoq2_mat,gRoq3_mat,gRoq4_mat,reasons,tempo_score,tempo,pitch_score,pitch,density_score,density
0,나비,A18,lying,1,"[0, 0, 0, 1]","[0, 0, 0, 0]","[0, 0, 1, 1]","[0, 1, 1, 0]","가만히 있는 사람과 (너무 정적인 포즈), 그리고 바람한결 불지않는것같은 배경 (나무가 곧음)",1.0,1,1.0,1,2.0,2
1,rub,A18,lying,3,"[0, 0, 0, 0]","[0, 0, 0, 0]","[1, 1, 0, 0]","[1, 0, 0, 0]",wind passing the grassland,2.0,2 |  it should be a perfect music for taking a afternoon nap,6.0,6 |  even its for napping but it's still day time,2.0,2 |  sleeping.....
2,Daisy,A18,lying,2,"[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 1, 1, 1]","[0, 1, 1, 1]","There is a human, and human is supposed to move even though the woman in this painting is just lying down.",2.0,2 |  The woman is only lying.,6.0,"6 |  It looks like a peaceful countryside, so I associate it with the country music, which, I think, has this pitch level.",6.0,6 |  Same reason with the one I gave for the pitch level. It feels like the sound of birds but not that high-pitched and dense.
3,Doky,A18,lying,0,"[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 1, 1]","[0, 0, 0, 0]",딱히 역동적 느낌이 들지 않음.,0.0,"0 |  역동적 움직임이 없으므로, 매우 느린 템포가 어울릴 것 같음. ",1.0,1 |  역동적 움직임이 부족하기 때문에 낮은 pitch가 어울림. 해당 그림에 높은 pitch는 그림에 대한 이입이 어려울 것 같음. ,2.0,2 |  음악의 밀도 역시 높지 않은 것이 어울릴 것으로 보여짐. 그림의 다이나믹함이 거의 없기 때문에. 
4,chanpig,A18,lying,1,"[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 1, 1]","[0, 0, 1, 1]",밭정리를 하다가 누워서 ,2.0,2 |  주무시고계셔서 ,3.0,3 |  하늘을 보니 저녁보단 낮시간 처럼 밝라서 잠시 잠든느낌,5.0,5 |  잠시 잠든것같은 느낌 
5,곤듀,A18,lying,5,"[0, 0, 0, 0]","[0, 0, 0, 0]","[1, 1, 1, 1]","[1, 1, 1, 1]","색감이 전체적으로 건조하며, 화풍의 영향으로 인해 식물들이 흔들리는 느낌을 받음",2.0,2 |  식물들이 흩날리는 역동성이 느껴지나 그림 전체에서 느껴지는 쓸쓸함에 의해 다소 느림 템포가 어울릴 것으로 보임,2.0,2 |  그림에서 전체적으로 우울하고 쓸쓸한 느낌이 들기 때문에 낮은 음이 어울린다고 생각함,1.0,1 |  그림에서 전체적으로 우울하고 쓸쓸한 느낌이 들기 때문에 낮은 밀도의 음이 어울린다고 생각함
6,이인애,A18,lying,2,"[0, 0, 0, 0]","[0, 0, 0, 0]","[1, 1, 1, 1]","[0, 0, 0, 0]",가로구조,2.0,2,3.0,3,5.0,5
7,고고,A18,lying,1,"[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 1, 1]","[0, 1, 1, 0]",누워있는 모습,1.0,1,1.0,1,1.0,1
8,경,A18,lying,0,"[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 1, 1]","[0, 1, 1, 0]",누워서 자는 모습에서 정적인 느낌이 남.,0.0,0 |  잠을 자는 정적인 느낌을 잘 드러냄.,0.0,0 |  잠을 자는 정적인 느낌을 잘 드러냄.,0.0,0 |  정적인 느낌을 잘 드러냄.
9,yoni,A18,lying,2,"[0, 0, 0, 1]","[0, 0, 0, 0]","[0, 0, 0, 1]","[0, 0, 0, 0]",인물의 표정 나무의 흔들림,3.0,3,5.0,5,5.0,5
10,밍경댕,A18,lying,3,"[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 1, 1]","[0, 1, 1, 1]",그냥 누워있기보단 작업 중에 힘들어서 쉬는 듯한 느낌이 들어 조금은 역동적으로 보임,6.0,6 |  여인의 힘듦을 표현하기 위해 조금 빠른 심박수와 같은 템포가 잘 어울릴듯,3.0,3 |  날씨도 흐려보이고 여인도 지쳐보여서 낮은 음의 음악이 잘 어울릴 것 같음.,3.0,3 |  가벼운 느낌의 음악일 것 같음.
11,배뀽,A18,lying,0,"[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 1, 1, 1]","[0, 1, 1, 1]",모든 부분에 정체가 있어 역동적인 부분이 없음 ,1.0,1 |  아무 움직임도 없음 ,3.0,3 |  우울한 분위기는 아니라 찬찬한 느낌 ,4.0,4 |  평범한 일상의 느낌 
12,미지,A18,lying,2,"[0, 0, 0, 0]","[0, 1, 1, 1]","[0, 1, 1, 1]","[0, 1, 1, 1]","뒷배경의 하늘과 건물의 우중충한 색, 누워있는 여자가 지친 느낌을 줌",1.0,1 | 지친 느낌,2.0,2 | 지친 느낌,2.0,2 | 단조로운 음악에 낮은 밀도가 어울림
13,boldmas,A18,lying,1,"[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 1, 1]","[0, 1, 1, 1]",There are no movements in the subject's body or her garments. The background is also very static.,1.0,1 | It feels like a warm and sunny day where the subject is taking a siesta. The music should also be slow and relaxing to match the mood of the artwork.,5.0,5 | it should be neutral like the painting itself.,2.0,"2 | The scenery is simple and static and the mood is relaxing, therefore, the music must also convey a similar mood."
