,name,artwork,poseType,sod,gRoq1_mat,gRoq2_mat,gRoq3_mat,gRoq4_mat,reasons,tempo_score,tempo,pitch_score,pitch,density_score,density
0,나비,A15,sit,2,"[0, 0, 0, 0]","[1, 0, 0, 0]","[1, 1, 0, 0]","[1, 1, 0, 0]","너무 정자세로 앉아있고, 몇분 이상 저 자세로 있어도 이상하지않아보여서 - 정적인느낌. 또한 풀이 흔들리지않는것같음.",2.0,2,3.0,3 |  약간의 새소리 날 것 같아서 높은 음 살짝?,2.0,2
1,rub,A15,sit,3,"[1, 1, 1, 0]","[0, 1, 1, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]",mainly feel like winds passing the trees,6.0,6 |  the sounds of nature,7.0,7 |  it's in day time,3.0,3 |  the painting looks really peaceful so doesn't have to be fancy
2,Daisy,A15,sit,3,"[1, 1, 1, 1]","[1, 1, 1, 0]","[1, 1, 0, 0]","[1, 1, 1, 1]","The woman is sitting, and the trees and grasses can gently move when the wind blows.",3.0,3 |  It looks like a quiet noon in a garden where the woman can sit and read.,5.0,"5 |  The daylight helps with increase the pitch, but the pitch should not be too high that might disturb the woman.",5.0,5 |  Same reason with the question about the pitch.
3,Doky,A15,sit,2,"[0, 0, 0, 0]","[0, 0, 0, 0]","[1, 1, 0, 0]","[0, 0, 0, 0]",딱히 역동적인 느낌이 나지 않음. 평화롭고 잔잔함.,3.0,3 |  밝은 곳에서의 휴식이므로 잔잔한 빠르기가 적당한 것으로 보여짐.,6.0,6 |  분위기가 낮이고 역동적임은 적지만 밝고 평화롭기 때문에 높은 핏치가 더 어울릴 것으로 생각됨. ,7.0,7 |  경쾌하면서도 평화로운 무드의 밀도가 촘촘한 곡이 어울릴 것 같음.
4,chanpig,A15,sit,2,"[0, 1, 1, 0]","[0, 1, 1, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]",나뭇잎이 흔들리는 느낌? ,2.0,2 |  책을 읽으면서 움직임이 없어보임 ,6.0,6 |  낮에 해가 들어오고 느긋하고 새가 울것같은 느낌 ? 칙칙한 느낌이 아님 ,6.0,6 |  새가 지저귈것만같은 느낌
5,곤듀,A15,sit,6,"[1, 1, 1, 1]","[0, 1, 1, 1]","[0, 0, 0, 0]","[1, 1, 1, 0]","나뭇잎들의 사실적인 표현과, 사물들에 비춰지는 햇빛이 그림의 역동성을 느끼게해 줌",5.0,5 |  자연속에서 휴식을 취하는 듯한 장면이 연상됨에 따라 평이한 템포가 어울릴 것으로 생각됨,5.0,"5 |  자연, 휴식이 연상되는 그림으로 평이한 수준의 음의 높낮이가 어울릴 것이라 생각함.",5.0,"5 |  자연, 휴식이 연상되는 그림으로 보통밀도의 음악이 어울릴 것으로 생각함."
6,이인애,A15,sit,2,"[0, 0, 1, 0]","[0, 1, 0, 0]","[1, 1, 0, 0]","[1, 0, 0, 0]",앉은구조 의자 햇살,3.0,3,7.0,7,2.0,2
7,고고,A15,sit,1,"[0, 0, 0, 0]","[1, 0, 0, 0]","[1, 1, 0, 0]","[0, 0, 0, 0]",앉아있는 모습,1.0,1,1.0,1,1.0,1
8,경,A15,sit,1,"[0, 0, 0, 0]","[1, 0, 0, 0]","[1, 1, 0, 0]","[0, 0, 0, 0]",가만히 앉아서 독서를 하는 모습을 통해 정적인 느낌을 얻을 수 있음.,1.0,1 |  느린 곡이 정적인 그림과 잘 어울림.,2.0,2 |  낮은 피치를 통해 여유롭고 정적인 모습을 느낄 수 있음.,2.0,2 |  낮은 밀도를 통해 대체로 정적인 분위기를 잘 느낄 수 있음.
9,yoni,A15,sit,4,"[0, 0, 0, 0]","[1, 1, 0, 0]","[1, 1, 0, 0]","[1, 1, 1, 1]",햇빛 인물의 행동 쉴수있는 의자,6.0,6,8.0,8,2.0,2
10,밍경댕,A15,sit,3,"[0, 0, 0, 0]","[1, 1, 0, 1]","[1, 1, 0, 0]","[0, 1, 0, 0]",여인은 가만히 있어 정적인 느낌을 주지만 풍경의 원근법이 조금의 동적인 느낌을 줌.,2.0,2 |  평화로운 느낌과 따뜻한 색감으로 느린 음악이 잘 어울림.,7.0,7 |  평화와 따뜻한 날씨에는 조금 높은 음이 잘 어울릴듯 ,2.0,2 |  가벼운 느낌의 음악이라 단일 악기로 표현할 수 있을듯
11,배뀽,A15,sit,3,"[0, 0, 0, 0]","[1, 0, 0, 0]","[1, 1, 0, 0]","[1, 1, 0, 0]",앉아서 책읽는 여자,4.0,4 | 일상의 여유로움,3.0,3 | 일상의 단조로움,4.0,4 | 귓가를 때리는 것보다 여유로움
12,미지,A15,sit,6,"[1, 0, 1, 0]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 1, 1, 0]",해가 드는 숲이 잘 표현되어 어느정도의 생기와 역동성이 느껴짐,7.0,7 | 수풀 위로 해가 일렁이는 모습이 가볍고 생기있게 느껴져서,7.0,7 | 위와 같음,7.0,7 | 위와 같음
13,boldmas,A15,sit,6,"[0, 0, 0, 0]","[1, 1, 0, 0]","[1, 1, 0, 0]","[1, 1, 0, 0]",the subject of the painting is in that section of the artwork,3.0,3 | the scene looks very relaxing and the woman is having a siesta.,7.0,7 | The sunlight shining through the branches and the leaves brings the image to life and gives it a special dimension.,7.0,"7 | Even though the subject is static, the sunlightth, the different color leaves and the multitude of trees makes it a complex image."
